ticker,period,strategy,years,cagr,sharpe,mdd,calmar,n_days,n_rebal,total_cost_pct
005930,전체,buyhold,12.22,19.83,0.722,-45.16,0.439,3000,,
005930,전체,A_reduce,12.22,18.31,0.764,-43.36,0.422,3000,14.0,0.75
005930,전체,B_avoid,12.22,16.93,0.755,-42.68,0.397,3000,14.0,1.4
005930,전반,buyhold,6.04,11.46,0.547,-34.55,0.332,1485,,
005930,전반,A_reduce,6.04,11.2,0.549,-35.35,0.317,1485,7.0,0.4
005930,전반,B_avoid,6.04,11.22,0.552,-35.35,0.318,1485,7.0,0.7
005930,후반,buyhold,6.12,28.41,0.855,-45.16,0.629,1502,,
005930,후반,A_reduce,6.12,25.34,0.943,-43.36,0.584,1502,8.0,0.45
005930,후반,B_avoid,6.12,22.42,0.946,-42.68,0.525,1502,8.0,0.8
000660,전체,buyhold,12.22,33.16,0.877,-54.71,0.606,3000,,
000660,전체,A_reduce,12.22,28.32,0.856,-48.55,0.583,3000,14.0,0.75
000660,전체,B_avoid,12.22,25.19,0.813,-48.55,0.519,3000,14.0,1.4
000660,전반,buyhold,6.04,9.85,0.447,-50.39,0.195,1485,,
000660,전반,A_reduce,6.04,6.52,0.36,-48.55,0.134,1485,7.0,0.4
000660,전반,B_avoid,6.04,5.06,0.319,-48.55,0.104,1485,7.0,0.7
000660,후반,buyhold,6.12,62.39,1.213,-54.71,1.14,1502,,
000660,후반,A_reduce,6.12,55.2,1.285,-46.11,1.197,1502,8.0,0.45
000660,후반,B_avoid,6.12,49.77,1.274,-47.6,1.046,1502,8.0,0.8
