ticker,start,cik,status,basis
CAM,2008-01-29,941548,,Tiingo 메타 이름이 지금 ETF(AB California Muni)이나 기간은 Cameron International(SLB 가 2016-04 인수). SEC CAMERON INTERNATIONAL CORP
HOT,2000-11-17,316206,,Tiingo 이름=ETF(Defiance) · 기간=Starwood Hotels(Marriott 2016-09 인수). SEC STARWOOD HOTELS & RESORTS WORLDWIDE
LLL,2004-12-01,1056239,,Tiingo 이름=ETF(GraniteShares LLY) · 기간=L3 Technologies(←L-3 Communications Holdings · 2019-06 Harris 합병). 자회사 1039101 아님
PCL,2002-01-17,849213,,Tiingo 이름=ETF(PGIM) · 기간=Plum Creek Timber(Weyerhaeuser 2016-02 합병)
TSS,2008-01-02,721683,,Tiingo 이름=ETF(GraniteShares TSLA) · 기간=Total System Services(Global Payments 2019-09 합병)
BCR,1996-01-02,9892,,C.R. Bard — SEC 이름이 도치형 BARD C R INC /NJ/ 라 정규화로 못 맞춤(BD 2017-12 인수)
HAR,2006-02-01,800459,,Harman International Industries /DE/ (Samsung 2017-03 인수)
IPG,1996-01-02,51644,,Interpublic Group of Companies(Cos. 약어)
DD,1996-01-02,30554,,옛 E. I. du Pont de Nemours(2017-09 Dow 와 합병 전). Tiingo DD 는 1962~ 이어진 시계열이라 구간 끝(2017-09-01)에서 자른다
HFC,2018-06-18,48039,,R2 DINO 의 현재 CIK 는 HF Sinclair(2022 신설 지주) — 구간(2018~2021) 기업은 HollyFrontier
ZION,2001-06-25,109380,,Zions Bancorporation(/UT/ → N.A. 전환 2018 · 같은 CIK 계속)
SBNY,2021-12-20,,PRICE_ONLY,Signature Bank 는 SEC 가 아니라 FDIC 에 공시 — 가격만 · EDGAR 재무 없음
FRC,2019-01-02,,PRICE_ONLY,First Republic Bank 는 FDIC 에 공시 — 가격(FRCB)만 · EDGAR 재무 없음
CBS,1996-01-02,813828,UNREACHABLE,Paramount Global 이력은 Tiingo PARA(지금 Banzai International 2021~)·PSKY(2025-08~) 어디에도 없다
VIAC,2019-12-05,813828,UNREACHABLE,CBS 와 같음
CCEP,2016-01-04,,UNREACHABLE,fja 에 CCE(~2016-05-31)와 겹쳐 적힌 구간 — 옛 Coca-Cola Enterprises 가격은 없음(CCE UNREACHABLE 과 같은 회사)
