old,new,name,basis
ABC,COR,Cencora,AmerisourceBergen 2023-08 개명 - 같은 날 COR 편입
ANTM,ELV,Elevance Health,Anthem 2022-06 개명
ARNC,HWM,Howmet Aerospace,옛 Arconic(←Alcoa Inc) 2020-04 새 Arconic 분할 뒤 Howmet 로 개명 - 같은 CIK
BHGE,BKR,Baker Hughes,BHGE 2019-10 개명
BK,BNY,BNY,Bank of New York Mellon 2026 티커 변경 - 같은 날 BNY 편입(fja)
BLL,BALL,Ball Corp,2022-05 티커 변경
CBS,PARA,Paramount Global,CBS Corp 가 2019-12 Viacom 흡수 후 ViacomCBS(VIAC)→Paramount(PARA) - 같은 CIK
VIAC,PARA,Paramount Global,2022-02 개명
CDAY,DAY,Dayforce,Ceridian 2024-02 개명
COG,CTRA,Coterra Energy,Cabot Oil & Gas 2021-10 Cimarex 합병 후 개명(존속법인)
CTL,LUMN,Lumen Technologies,CenturyLink 2020-09 개명
DISCA,WBD,Warner Bros. Discovery,Discovery 가 2022-04 WarnerMedia 합병 존속법인
DWDP,DD,DuPont de Nemours,DowDuPont 2019-06 분할 후 개명 - 같은 CIK
FB,META,Meta Platforms,Facebook 2022-06 티커 변경
FBHS,FBIN,Fortune Brands Innovations,2022-12 개명(같은 시기 지수 편출)
FI,FISV,Fiserv,2025-11 티커 복귀
FLT,CPAY,Corpay,FleetCor 2024-03 개명
FRC,FRCB,First Republic Bank,2023-05 파산 후 장외 티커
GPS,GAP,Gap Inc,2024 티커 변경(지수 편출은 2022)
HCP,DOC,Healthpeak Properties,HCP→Healthpeak(PEAK) 2019-11 → Physicians Realty 합병 후 DOC 2024-03 - 존속법인
PEAK,DOC,Healthpeak Properties,2024-03 Physicians Realty 합병 후 티커 DOC
HFC,DINO,HF Sinclair,HollyFrontier 2022-03 HF Sinclair 로(지수 편출은 2021)
HRS,LHX,L3Harris Technologies,Harris 2019-06 L3 합병 존속법인
JEC,J,Jacobs Solutions,2019-12 티커 변경
KORS,CPRI,Capri Holdings,Michael Kors 2019-01 개명
LB,BBWI,Bath & Body Works,L Brands 2021-08 개명
MMC,MRSH,Marsh McLennan,2026-01 티커 변경 - 같은 날 MRSH 편입(fja)
NLOK,GEN,Gen Digital,2022-11 개명
SYMC,GEN,Gen Digital,Symantec→NortonLifeLock(NLOK) 2019-11→Gen 2022-11 - 같은 CIK
PKI,RVTY,Revvity,PerkinElmer 2023-05 개명
RE,EG,Everest Group,2023-07 티커 변경
TMK,GL,Globe Life,Torchmark 2019-08 개명
UTX,RTX,RTX Corp,United Technologies 2020-04 Raytheon 합병 존속법인
WLTW,WTW,Willis Towers Watson,2022-01 티커 변경
WYND,TNL,Travel + Leisure,Wyndham Worldwide→Wyndham Destinations(2018-06 호텔 분할)→Travel + Leisure 2021 - 같은 CIK
ADS,BFH,Bread Financial,Alliance Data 2022-03 개명(지수 편출은 2020)
BBT,TFC,Truist Financial,BB&T 2019-12 SunTrust 합병 후 Truist(TFC)로 개명 - 같은 CIK 92230. Tiingo BBT 는 옛 BB&T 기간을 덮지만 이름이 지금 Beacon Financial(재사용)
EQR,VMRK,Vivmark Residential,Equity Residential 2026-08 개명(같은 CIK 906107) — Tiingo EQR 가격이 비고 이력이 VMRK 로 옮겨감. VMRK 는 현재 멤버라 yfinance(1993~)
