ticker,start,end,rule,cik,price_symbol,price_source,status,note
A,2000-06-05,,R1,1090872,A,yfinance,OK,위키 CIK 일치
AABA,1999-12-08,2017-06-19,R3,1011006,AABA,tiingo,OK,Altaba Inc · 후보1→정기보고서 있는 1
AAL,2015-03-23,2024-09-23,R3,6201,AAL,tiingo,OK,American Airlines Group Inc · 후보1→정기보고서 있는 1
AAP,2015-07-09,2023-08-25,R3,1158449,AAP,tiingo,OK,Advance Auto Parts Inc · 후보1→정기보고서 있는 1
AAPL,1996-01-02,,R1,320193,AAPL,yfinance,OK,위키 CIK 일치
ABBV,2013-01-02,,R1,1551152,ABBV,yfinance,OK,위키 CIK 일치
ABC,2001-08-30,2023-08-30,R2,1140859,COR,yfinance,OK,Cencora · 후보1→정기보고서 있는 1
ABMD,2018-05-31,2022-12-22,R3,815094,ABMD,tiingo,OK,Abiomed Inc · 후보1→정기보고서 있는 1
ABNB,2023-09-18,,R1,1559720,ABNB,yfinance,OK,위키 CIK 일치
ABT,1996-01-02,,R1,1800,ABT,yfinance,OK,위키 CIK 일치
ACGL,2022-11-01,,R1,947484,ACGL,yfinance,OK,위키 CIK 일치
ACN,2011-07-06,,R1,1467373,ACN,yfinance,OK,위키 CIK 일치
ADBE,1997-05-06,,R1,796343,ADBE,yfinance,OK,위키 CIK 일치
ADI,1999-10-12,,R1,6281,ADI,yfinance,OK,위키 CIK 일치
ADM,1996-01-02,,R1,7084,ADM,yfinance,OK,위키 CIK 일치
ADP,1996-01-02,,R1,8670,ADP,yfinance,OK,위키 CIK 일치
ADS,2013-12-23,2020-06-22,R2,1101215,BFH,tiingo,OK,Bread Financial · 후보1→정기보고서 있는 1
ADSK,1996-01-02,,R1,769397,ADSK,yfinance,OK,위키 CIK 일치
ADT,2012-10-02,2016-05-02,R5,,,,UNREACHABLE,Tiingo 기간 2018-01-19~2026-09-24 이 구간을 못 덮음(재사용·잘림)
AEE,1996-01-02,,R1,1002910,AEE,yfinance,OK,위키 CIK 일치
AEP,1996-01-02,,R1,4904,AEP,yfinance,OK,위키 CIK 일치
AES,1998-10-02,,R1,874761,AES,yfinance,OK,위키 CIK 일치
AET,1996-01-02,2018-11-29,R3,1122304,AET,tiingo,OK,Aetna Inc · 후보3→정기보고서 있는 1
AFL,1999-05-28,,R1,4977,AFL,yfinance,OK,위키 CIK 일치
AGN,1996-01-02,2020-05-12,R3,1578845,AGN,tiingo,OK,Allergan Inc · 후보2→정기보고서 최다 25건(차순 1)
AIG,1996-01-02,,R1,5272,AIG,yfinance,OK,위키 CIK 일치
AIV,2003-03-14,2020-12-21,R3,922864,AIV,tiingo,OK,Apartment Investment & Management Co. - Class A · 후보1→정기보고서 있는 1
AIZ,2007-04-10,,R1,1267238,AIZ,yfinance,OK,위키 CIK 일치
AJG,2016-05-31,,R1,354190,AJG,yfinance,OK,위키 CIK 일치
AKAM,2007-07-12,,R1,1086222,AKAM,yfinance,OK,위키 CIK 일치
ALB,2016-07-01,,R1,915913,ALB,yfinance,OK,위키 CIK 일치
ALGN,2017-06-19,,R1,1097149,ALGN,yfinance,OK,위키 CIK 일치
ALK,2016-05-13,2023-12-18,R3,766421,ALK,tiingo,OK,Alaska Air Group Inc · 후보1→정기보고서 있는 1
ALL,1996-01-02,,R1,899051,ALL,yfinance,OK,위키 CIK 일치
ALLE,2013-12-02,,R1,1579241,ALLE,yfinance,OK,위키 CIK 일치
ALXN,2012-05-25,2021-07-21,R3,899866,ALXN,tiingo,OK,Alexion Pharmaceuticals Inc · 후보1→정기보고서 있는 1
AMAT,1996-01-02,,R1,6951,AMAT,yfinance,OK,위키 CIK 일치
AMCR,2019-06-07,,R1,1748790,AMCR,yfinance,OK,위키 CIK 일치
AMD,2017-03-20,,R1,2488,AMD,yfinance,OK,위키 CIK 일치
AME,2013-09-23,,R1,1037868,AME,yfinance,OK,위키 CIK 일치
AMG,2014-07-01,2019-12-23,R3,1004434,AMG,tiingo,OK,Affiliated Managers Group Inc · 후보1→정기보고서 있는 1
AMGN,1996-01-02,,R1,318154,AMGN,yfinance,OK,위키 CIK 일치
AMP,2005-10-03,,R1,820027,AMP,yfinance,OK,위키 CIK 일치
AMT,2007-11-19,,R1,1053507,AMT,yfinance,OK,위키 CIK 일치
AMTM,2024-09-30,2024-12-23,R3,2011286,AMTM,tiingo,OK,Amentum Holdings Inc · 후보1→정기보고서 있는 1
AMZN,2005-11-21,,R1,1018724,AMZN,yfinance,OK,위키 CIK 일치
AN,2003-02-24,2017-08-08,R3,350698,AN,tiingo,OK,Autonation Inc · 후보3→정기보고서 있는 1
ANDV,2007-09-27,2018-10-01,R3,50104,ANDV,tiingo,OK,Andeavor Corp · 후보1→정기보고서 있는 1
ANET,2018-08-28,,R1,1596532,ANET,yfinance,OK,위키 CIK 일치
ANSS,2017-06-19,2025-07-18,R3,1013462,ANSS,tiingo,OK,Ansys Inc · 후보1→정기보고서 있는 1
