symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_type,holding_sessions
KRW-SOL,2023-06-30 00:00:00,2023-07-13 00:00:00,24022.005,32833.05367588502,66592,584852307.3908632,TARGET,14
KRW-XRP,2023-07-14 00:00:00,2023-07-14 00:00:00,1040.52,928.7669403853287,1649751,-185989138.4019575,STOP,1
KRW-ADA,2023-07-14 00:00:00,2023-07-16 00:00:00,455.2275,405.18913573932906,3770859,-190309871.12494326,STOP,3
KRW-SOL,2023-07-14 00:00:00,2023-08-17 00:00:00,33116.55,29053.668542369902,51835,-212210756.9953282,STOP,35
KRW-DOGE,2023-07-22 00:00:00,2023-08-17 00:00:00,95.0475,85.73819197385396,13656934,-128371094.43046236,STOP,27
KRW-ETH,2023-08-10 00:00:00,2023-08-17 00:00:00,2462230.5,2375943.069336302,421,-37345443.845762014,STOP,8
KRW-BTC,2023-06-21 00:00:00,2023-08-19 00:00:00,36973477.5,36037972.0,54,-52488606.13649988,TIME_EXIT,60
KRW-ETH,2023-09-30 00:00:00,2023-10-09 00:00:00,2257128.0,2159078.755949719,694,-69578599.11520958,STOP,10
KRW-DOGE,2023-10-02 00:00:00,2023-10-09 00:00:00,85.4427,81.70875729837108,8807130,-33621381.092855215,STOP,8
KRW-SOL,2023-10-01 00:00:00,2023-10-20 00:00:00,28954.47,35713.422961519966,43315,291363502.6364231,TARGET,20
KRW-BTC,2023-09-20 00:00:00,2023-10-23 00:00:00,36527254.5,41172411.64580672,53,244134287.57489276,TARGET,34
KRW-SOL,2023-10-20 00:00:00,2023-10-23 00:00:00,33876.93,43514.26453328391,30851,296127609.8150687,TARGET,4
KRW-ADA,2023-10-01 00:00:00,2023-10-26 00:00:00,344.172,397.0697880387678,3644026,191410362.78180885,TARGET,26
KRW-SOL,2023-10-26 00:00:00,2023-11-01 00:00:00,43751.865,59137.510393847835,8634,132395488.89690703,TARGET,7
KRW-ETH,2023-10-24 00:00:00,2023-11-09 00:00:00,2362180.5,2717760.3389848387,782,276077177.2181008,TARGET,17
KRW-DOGE,2023-10-24 00:00:00,2023-11-09 00:00:00,90.045,103.33967408165256,20538931,271072436.3918402,TARGET,17
KRW-DOT,2023-10-24 00:00:00,2023-11-10 00:00:00,5822.91,6975.108314529305,317612,363919608.9778247,TARGET,18
KRW-SOL,2023-11-01 00:00:00,2023-11-10 00:00:00,52176.075,68940.87897403268,11332,189292509.97252142,TARGET,10
KRW-ETH,2023-11-10 00:00:00,2023-11-14 00:00:00,2856427.5,2687137.3627019753,498,-85686836.02522922,STOP,5
KRW-BTC,2023-10-24 00:00:00,2023-12-01 00:00:00,44201089.5,51359463.30209552,41,291534334.55347323,TARGET,39
KRW-BTC,2023-12-02 00:00:00,2023-12-05 00:00:00,51735855.0,59010975.45542687,29,209372664.16577554,TARGET,4
KRW-DOGE,2023-11-12 00:00:00,2023-12-06 00:00:00,104.052,133.37653727725845,10021960,292699589.9594673,TARGET,25
KRW-DOT,2023-11-11 00:00:00,2023-12-08 00:00:00,7128.5625,9045.257440056197,243808,465333906.5992489,TARGET,28
KRW-ADA,2023-12-05 00:00:00,2023-12-08 00:00:00,551.2755,688.1776688992613,1774061,241773365.89545727,TARGET,4
KRW-SOL,2023-11-11 00:00:00,2023-12-15 00:00:00,76278.12,107145.24437644488,22785,701217778.2386384,TARGET,35
KRW-ADA,2023-12-14 00:00:00,2023-12-17 00:00:00,923.4615,805.0091321743148,1946656,-232268381.40555,STOP,4
KRW-XRP,2023-12-07 00:00:00,2023-12-18 00:00:00,882.441,822.3640603937858,1576751,-96070401.14292812,STOP,12
KRW-DOT,2023-12-22 00:00:00,2024-01-03 00:00:00,11445.72,9980.792989126347,218254,-322064390.9141822,STOP,13
KRW-ETH,2023-12-03 00:00:00,2024-01-10 00:00:00,2887443.0,3394393.185840275,423,213111320.25713134,TARGET,39
KRW-BTC,2024-01-09 00:00:00,2024-01-12 00:00:00,63042505.5,58662928.61514464,30,-133212888.05738783,STOP,4
KRW-ETH,2024-01-11 00:00:00,2024-01-22 00:00:00,3529764.0,3213353.8040361213,522,-166926076.0399983,STOP,12
KRW-SOL,2023-12-22 00:00:00,2024-01-23 00:00:00,127363.65,110014.32266728606,19613,-342600204.06548023,STOP,33
KRW-BTC,2024-02-09 00:00:00,2024-02-15 00:00:00,62042005.5,71692048.94349252,41,392910233.0671015,TARGET,7
KRW-ETH,2024-02-11 00:00:00,2024-02-18 00:00:00,3379689.0,3984637.359915882,616,370379977.18932915,TARGET,8
KRW-SOL,2024-02-15 00:00:00,2024-02-21 00:00:00,158579.25,142967.09488037534,6307,-99416788.73805308,STOP,7
KRW-DOGE,2024-02-15 00:00:00,2024-02-28 00:00:00,115.95795000000001,140.16632908705782,8625896,207714309.63629556,TARGET,14
KRW-DOGE,2024-02-28 00:00:00,2024-02-28 00:00:00,134.46720000000002,166.72168170496028,13817670,443600919.9326439,TARGET,1
KRW-ADA,2024-02-11 00:00:00,2024-02-29 00:00:00,746.1728999999999,959.8014329257014,2792045,594078898.6593535,TARGET,19
KRW-DOT,2024-02-14 00:00:00,2024-03-02 00:00:00,9973.9845,12553.926747220326,125356,321999235.9213979,TARGET,18
KRW-BTC,2024-02-28 00:00:00,2024-03-04 00:00:00,78660310.5,90781414.92625894,23,276836821.9615536,TARGET,6
KRW-ADA,2024-03-02 00:00:00,2024-03-05 00:00:00,1007.5035,907.4477020998899,1619307,-163571500.87334323,STOP,4
KRW-DOT,2024-03-02 00:00:00,2024-03-05 00:00:00,12176.085,15616.908530737335,133988,459167099.42783594,TARGET,4
KRW-BTC,2024-03-05 00:00:00,2024-03-05 00:00:00,95547750.0,89300228.92867623,17,-107779066.03339791,STOP,1
KRW-XRP,2024-03-05 00:00:00,2024-03-05 00:00:00,907.75365,826.2236251742066,1884300,-155260692.46904755,STOP,1
KRW-ETH,2024-02-29 00:00:00,2024-03-12 00:00:00,4754376.0,5716821.478471829,384,367568593.8173156,TARGET,13
KRW-SOL,2024-02-29 00:00:00,2024-03-12 00:00:00,167383.65,217675.54518634966,10911,546634177.9389222,TARGET,13
KRW-XRP,2024-03-12 00:00:00,2024-03-15 00:00:00,1006.503,894.2563278089983,1883410,-213196459.43404865,STOP,4
KRW-DOT,2024-03-07 00:00:00,2024-03-19 00:00:00,14937.465,12870.093822851433,158632,-330156808.9090247,STOP,13
KRW-DOGE,2024-03-29 00:00:00,2024-04-03 00:00:00,313.9569,258.9474185639969,8562247,-473457441.53842926,STOP,6
KRW-SOL,2024-03-14 00:00:00,2024-04-13 00:00:00,233416.65,205155.3865585373,10409,-296454039.3264539,STOP,31
KRW-ADA,2024-05-21 00:00:00,2024-06-07 00:00:00,683.7416999999999,614.8972996246165,3533742,-245572876.65921402,STOP,18
KRW-DOGE,2024-05-22 00:00:00,2024-06-07 00:00:00,234.91740000000001,203.8852136908153,4186085,-130821802.14564943,STOP,17
KRW-SOL,2024-05-16 00:00:00,2024-06-18 00:00:00,220610.25,191461.45651250734,13690,-401867613.6748524,STOP,34
KRW-BTC,2024-05-21 00:00:00,2024-06-18 00:00:00,97308630.0,90711164.94136797,24,-160595398.94646502,STOP,29
KRW-ETH,2024-05-21 00:00:00,2024-07-04 00:00:00,4994496.0,4562174.836923665,483,-211119057.7729864,STOP,45
KRW-ADA,2024-07-14 00:00:00,2024-07-25 00:00:00,618.5091,552.5134612476895,4511360,-300371537.0125785,STOP,12
KRW-DOGE,2024-07-21 00:00:00,2024-08-01 00:00:00,187.99395,166.91855794421517,5378099,-114299922.24185562,STOP,12
KRW-BTC,2024-07-16 00:00:00,2024-08-03 00:00:00,91207581.0,85015748.65512879,18,-113038992.17457795,STOP,19
KRW-SOL,2024-07-16 00:00:00,2024-08-03 00:00:00,224061.975,198609.01331339078,7471,-191737964.2375021,STOP,19
KRW-XRP,2024-07-14 00:00:00,2024-08-05 00:00:00,737.3685,669.5673497442336,3784156,-259232161.91597223,STOP,23
KRW-ADA,2024-08-24 00:00:00,2024-08-27 00:00:00,522.76125,470.24833937300724,4963412,-263107568.61694765,STOP,4
KRW-ADA,2024-09-25 00:00:00,2024-10-01 00:00:00,513.75675,470.5751554109977,3166913,-138311000.0184214,STOP,7
KRW-DOT,2024-09-25 00:00:00,2024-10-01 00:00:00,6157.077,5634.768114524268,264252,-139579176.9323349,STOP,7
KRW-DOGE,2024-09-27 00:00:00,2024-10-01 00:00:00,155.8779,142.3816973907088,6262688,-85456459.5275085,STOP,5
KRW-ETH,2024-09-22 00:00:00,2024-10-02 00:00:00,3481740.0,3191430.4025466074,584,-171489370.6703248,STOP,11
KRW-DOT,2024-10-20 00:00:00,2024-10-25 00:00:00,6058.0275,5615.863271260721,205255,-91954480.99500847,STOP,6
KRW-ADA,2024-10-21 00:00:00,2024-10-25 00:00:00,496.248,458.50115050154557,2004550,-76622368.36694574,STOP,5
KRW-SOL,2024-09-20 00:00:00,2024-10-27 00:00:00,190595.25,246985.83722544133,13337,749163252.3455482,TARGET,38
KRW-DOGE,2024-10-17 00:00:00,2024-10-28 00:00:00,170.58525,219.95779149157954,9111588,448083022.93900895,TARGET,12
KRW-DOGE,2024-10-29 00:00:00,2024-11-03 00:00:00,225.01245,200.84557313469034,10080897,-245770311.92479205,STOP,6
KRW-BTC,2024-10-15 00:00:00,2024-11-06 00:00:00,88684320.0,102230067.1701687,21,282456089.50825596,TARGET,23
KRW-DOGE,2024-11-07 00:00:00,2024-11-10 00:00:00,271.53569999999996,390.23890469112723,9752438,1154418686.2504153,TARGET,4
KRW-ADA,2024-11-08 00:00:00,2024-11-10 00:00:00,560.28,721.8960260849799,1906619,306917875.45177937,TARGET,3
