symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_type,holding_sessions
KRW-ETH,2023-12-08 00:00:00,2023-12-11 00:00:00,3228613.5,3021911.28516353,619,-129883208.40478301,STOP,4
KRW-ADA,2023-12-14 00:00:00,2023-12-17 00:00:00,923.4615,805.0091321743148,1703634,-203271821.87683034,STOP,4
KRW-SOL,2023-12-08 00:00:00,2023-12-22 00:00:00,92876.415,130613.1996277152,21523,809803732.0544987,TARGET,15
KRW-DOT,2023-12-22 00:00:00,2024-01-03 00:00:00,11445.72,9980.792989126347,133902,-197591183.0811386,STOP,13
KRW-BTC,2024-01-09 00:00:00,2024-01-12 00:00:00,63042505.5,58662928.61514464,27,-119891599.25164914,STOP,4
KRW-ETH,2024-01-11 00:00:00,2024-01-22 00:00:00,3529764.0,3213353.8040361213,398,-127273138.43662691,STOP,12
KRW-SOL,2023-12-22 00:00:00,2024-01-23 00:00:00,127363.65,110014.32266728606,12033,-210192640.36709952,STOP,33
KRW-BTC,2024-02-09 00:00:00,2024-02-15 00:00:00,62042005.5,71692048.94349252,31,297078468.90439415,TARGET,7
KRW-ETH,2024-02-11 00:00:00,2024-02-18 00:00:00,3379689.0,3984637.359915882,467,280791313.8756764,TARGET,8
KRW-SOL,2024-02-15 00:00:00,2024-02-21 00:00:00,158579.25,142967.09488037534,4778,-75315271.37948585,STOP,7
KRW-DOGE,2024-02-15 00:00:00,2024-02-28 00:00:00,115.95795000000001,140.16632908705782,6535452,157375755.55526602,TARGET,14
KRW-DOGE,2024-02-28 00:00:00,2024-02-28 00:00:00,134.46720000000002,166.72168170496028,10463921,335932540.12452984,TARGET,1
KRW-ADA,2024-02-11 00:00:00,2024-02-29 00:00:00,746.1728999999999,959.8014329257014,2115726,450174754.32701087,TARGET,19
KRW-DOT,2024-02-14 00:00:00,2024-03-02 00:00:00,9973.9845,12553.926747220326,94976,243962789.42268968,TARGET,18
KRW-BTC,2024-02-28 00:00:00,2024-03-04 00:00:00,78660310.5,90781414.92625894,17,204618520.58027887,TARGET,6
KRW-ADA,2024-03-02 00:00:00,2024-03-05 00:00:00,1007.5035,907.4477020998899,1230671,-124314106.31294632,STOP,4
KRW-DOT,2024-03-02 00:00:00,2024-03-05 00:00:00,12176.085,15616.908530737335,101831,348967406.79639935,TARGET,4
KRW-BTC,2024-03-05 00:00:00,2024-03-05 00:00:00,95547750.0,89300228.92867623,13,-82419285.7902453,STOP,1
KRW-XRP,2024-03-05 00:00:00,2024-03-05 00:00:00,907.75365,826.2236251742066,1421661,-117140620.5573628,STOP,1
KRW-ETH,2024-02-29 00:00:00,2024-03-12 00:00:00,4754376.0,5716821.478471829,292,279505284.88191724,TARGET,13
KRW-SOL,2024-02-29 00:00:00,2024-03-12 00:00:00,167383.65,217675.54518634966,8303,415975032.4834449,TARGET,13
