symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_type,holding_sessions
KRW-SOL,2026-04-06 09:00:00,2026-04-07 09:00:00,123761.85,120159.35400183848,16151,-60153698.54922366,STOP,7
KRW-ADA,2026-04-06 09:00:00,2026-04-07 13:00:00,379.1895,366.1445659840422,5271771,-70734520.09942341,STOP,8
KRW-XRP,2026-04-06 17:00:00,2026-04-07 13:00:00,2021.01,1979.7088276845072,199759,-8649870.676720142,STOP,6
KRW-BTC,2026-04-06 09:00:00,2026-04-07 21:00:00,104341144.5,102533044.50747162,19,-36319204.65361023,STOP,10
KRW-ETH,2026-04-06 09:00:00,2026-04-07 21:00:00,3188593.5,3106442.1423980906,626,-53397096.01486611,STOP,10
KRW-XRP,2026-04-12 05:00:00,2026-04-12 09:00:00,2031.015,1988.9668295930928,961673,-42369544.17272663,STOP,2
KRW-ETH,2026-04-18 01:00:00,2026-04-18 17:00:00,3588793.5,3477309.6677146014,352,-40485943.121978045,STOP,5
KRW-ADA,2026-04-16 05:00:00,2026-04-26 01:00:00,367.1835,371.814,5296269,22567408.829336643,TIME_EXIT,60
KRW-BTC,2026-04-17 21:00:00,2026-04-27 17:00:00,111952948.5,115672135.0,13,46869861.45724988,TIME_EXIT,60
KRW-ETH,2026-04-22 13:00:00,2026-04-27 21:00:00,3497748.0,3392387.2286121966,359,-39061296.20175743,STOP,33
KRW-SOL,2026-04-22 13:00:00,2026-04-27 21:00:00,129064.5,125199.4890927758,9736,-38867503.29163861,STOP,33
KRW-DOGE,2026-04-22 17:00:00,2026-04-29 17:00:00,143.0715,159.25327467163558,5271062,84498351.24850571,TARGET,43
KRW-SOL,2026-05-04 13:00:00,2026-05-04 17:00:00,125962.95,123697.36864189676,15495,-37039426.462487936,STOP,2
KRW-DOT,2026-05-04 13:00:00,2026-05-04 17:00:00,1842.921,1794.4552448457025,1059081,-53255298.469952345,STOP,2
KRW-ADA,2026-05-04 13:00:00,2026-05-06 17:00:00,374.187,398.7318281667242,5216117,126012877.94291878,TARGET,14
KRW-XRP,2026-05-04 13:00:00,2026-05-07 21:00:00,2084.0415,2053.0466596629735,936547,-30965413.485454798,STOP,21
KRW-SOL,2026-05-05 13:00:00,2026-05-09 01:00:00,125862.9,133368.14443876458,9161,67568136.50447059,TARGET,22
KRW-BTC,2026-05-11 01:00:00,2026-05-11 05:00:00,119695818.0,118255080.520534,16,-24955406.859620333,STOP,2
KRW-ETH,2026-05-11 01:00:00,2026-05-11 05:00:00,3454726.5,3396986.6705019497,569,-34803275.3813982,STOP,2
KRW-BTC,2026-05-21 13:00:00,2026-05-23 01:00:00,115954948.5,114058760.7788954,16,-32179113.211905003,STOP,10
KRW-SOL,2026-05-21 13:00:00,2026-05-23 13:00:00,129064.5,125636.77345675616,15142,-53830978.659139395,STOP,13
KRW-DOT,2026-05-21 13:00:00,2026-05-23 13:00:00,1896.948,1838.49689785714,1030241,-62142926.166269064,STOP,13
KRW-DOGE,2026-05-22 05:00:00,2026-05-23 13:00:00,157.0785,150.81106279881666,5102780,-32766899.55308342,STOP,9
KRW-BTC,2026-06-15 09:00:00,2026-06-17 17:00:00,99249600.0,97009298.09905642,19,-44430195.6498692,STOP,15
KRW-DOGE,2026-06-15 21:00:00,2026-06-17 17:00:00,134.067,128.42096875891554,5775053,-33364070.622641087,STOP,12
KRW-XRP,2026-06-15 09:00:00,2026-06-18 21:00:00,1788.894,1733.1646791316393,1072254,-61644257.97184992,STOP,22
KRW-ETH,2026-06-15 09:00:00,2026-06-19 01:00:00,2606302.5,2533344.3661708445,735,-55513048.5877471,STOP,23
KRW-ETH,2026-06-22 21:00:00,2026-06-23 13:00:00,2665332.0,2590840.6788674686,705,-54369182.26773548,STOP,5
KRW-ETH,2026-06-30 05:00:00,2026-06-30 21:00:00,2458228.5,2370069.4882537974,608,-55068481.73012042,STOP,5
KRW-XRP,2026-06-30 05:00:00,2026-06-30 21:00:00,1624.812,1569.7127112558742,919893,-52154760.480805635,STOP,5
KRW-ADA,2026-07-01 13:00:00,2026-07-03 21:00:00,228.114,257.8228819835036,6458261,190298560.26097608,TARGET,15
KRW-DOT,2026-07-01 13:00:00,2026-07-08 21:00:00,1274.637,1227.575060672308,1155795,-55839976.25958228,STOP,45
KRW-SOL,2026-06-30 01:00:00,2026-07-09 21:00:00,112256.1,115942.0,16643,59445483.21085,TIME_EXIT,60
KRW-ADA,2026-07-12 01:00:00,2026-07-12 09:00:00,257.1285,246.46869392101888,7333442,-80019620.01794648,STOP,3
KRW-ADA,2026-07-18 13:00:00,2026-07-20 13:00:00,248.124,237.5017278908793,7535107,-81869577.8361454,STOP,13
KRW-BTC,2026-07-21 17:00:00,2026-07-24 01:00:00,96487219.5,94788692.46931137,6,-10764989.920039654,STOP,15
KRW-SOL,2026-07-20 21:00:00,2026-07-24 09:00:00,113156.55,110440.55979816515,16377,-46310696.46903157,STOP,22
KRW-ADA,2026-07-21 13:00:00,2026-07-24 17:00:00,252.126,241.4777156879832,2940926,-32041642.18918395,STOP,20
KRW-ETH,2026-07-20 21:00:00,2026-07-24 21:00:00,2777388.0,2711246.939904659,667,-45946546.83605051,STOP,25
KRW-XRP,2026-07-20 21:00:00,2026-07-25 01:00:00,1620.81,1589.116878918765,1143425,-38073862.293074846,STOP,26
KRW-DOT,2026-08-01 21:00:00,2026-08-04 09:00:00,1102.551,1186.8976070530691,1649506,137242004.80666685,TARGET,16
KRW-DOGE,2026-08-09 01:00:00,2026-08-10 05:00:00,100.05,97.79737751316001,14764808,-34720127.785817385,STOP,8
KRW-ETH,2026-08-06 05:00:00,2026-08-10 21:00:00,2720359.5,2657286.285804895,678,-44586661.14566898,STOP,29
KRW-BTC,2026-08-17 13:00:00,2026-08-19 21:00:00,89674815.0,91898861.66075769,20,42665196.44854593,TARGET,15
KRW-ETH,2026-08-17 13:00:00,2026-08-19 21:00:00,2687343.0,2786906.2639980344,681,65938600.90827012,TARGET,15
KRW-SOL,2026-08-19 01:00:00,2026-08-20 05:00:00,108454.2,114277.74531816365,10193,58224244.06872797,TARGET,8
