symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_type,holding_sessions
KRW-DOT,2023-10-02 00:00:00,2023-10-04 00:00:00,5757.8775,5472.23014340321,222930,-64931129.154593945,STOP,3
KRW-DOGE,2023-10-02 00:00:00,2023-10-09 00:00:00,85.4427,81.70875729837108,15022991,-57350545.020401955,STOP,8
KRW-BTC,2023-09-20 00:00:00,2023-10-23 00:00:00,36527254.5,41172411.64580672,54,248740594.88762617,TARGET,34
KRW-ADA,2023-10-01 00:00:00,2023-10-26 00:00:00,344.172,397.0697880387678,4661931,244878028.85428405,TARGET,26
KRW-XRP,2023-12-07 00:00:00,2023-12-18 00:00:00,882.441,822.3640603937858,2349427,-143149041.50752187,STOP,12
KRW-DOGE,2024-02-15 00:00:00,2024-02-28 00:00:00,115.95795000000001,140.16632908705782,14105922,339675072.5969145,TARGET,14
KRW-DOT,2024-02-14 00:00:00,2024-03-02 00:00:00,9973.9845,12553.926747220326,204994,526563637.70757747,TARGET,18
KRW-XRP,2024-02-16 00:00:00,2024-03-04 00:00:00,772.48605,923.6737622653166,1693953,254668271.25373673,TARGET,18
KRW-SOL,2024-02-29 00:00:00,2024-03-12 00:00:00,167383.65,217675.54518634966,8614,431555935.1815486,TARGET,13
KRW-ADA,2024-05-21 00:00:00,2024-06-07 00:00:00,683.7416999999999,614.8972996246165,2755417,-191484177.13735223,STOP,18
KRW-DOGE,2024-05-22 00:00:00,2024-06-07 00:00:00,234.91740000000001,203.8852136908153,6415851,-200505529.65789437,STOP,17
KRW-BTC,2024-06-06 00:00:00,2024-06-14 00:00:00,98434192.5,93567192.92890826,12,-59556003.16567421,STOP,9
KRW-SOL,2024-05-16 00:00:00,2024-06-18 00:00:00,220610.25,191461.45651250734,10674,-313333448.3831539,STOP,34
KRW-DOT,2024-09-25 00:00:00,2024-10-01 00:00:00,6157.077,5634.768114524268,286120,-151129959.67440033,STOP,7
KRW-DOT,2024-10-20 00:00:00,2024-10-25 00:00:00,6058.0275,5615.863271260721,230182,-103121806.26241994,STOP,6
KRW-ADA,2024-10-21 00:00:00,2024-10-25 00:00:00,496.248,458.50115050154557,2247994,-85927826.37234497,STOP,5
KRW-SOL,2024-09-20 00:00:00,2024-10-27 00:00:00,190595.25,246985.83722544133,11553,648952767.065166,TARGET,38
KRW-BTC,2024-10-15 00:00:00,2024-11-06 00:00:00,88684320.0,102230067.1701687,19,255555509.55508876,TARGET,23
KRW-BTC,2024-12-12 00:00:00,2025-02-09 00:00:00,143182555.5,147505210.5,16,66836977.87200022,TIME_EXIT,60
KRW-XRP,2025-04-29 00:00:00,2025-05-06 00:00:00,3304.6515,2973.8679910719848,450898,-150565108.54936695,STOP,8
KRW-DOGE,2025-04-23 00:00:00,2025-05-11 00:00:00,256.02795000000003,352.4189954333778,9093629,873777910.6993046,TARGET,19
KRW-XRP,2025-05-11 00:00:00,2025-05-28 00:00:00,3418.7085,3125.362385184496,341651,-101339887.65382886,STOP,18
KRW-ADA,2025-04-24 00:00:00,2025-06-05 00:00:00,1001.5005,876.9188154795517,1859788,-233442252.7418642,STOP,43
KRW-SOL,2025-05-09 00:00:00,2025-06-05 00:00:00,230615.25,209731.4243125435,6330,-133588313.82579875,STOP,28
KRW-ETH,2025-06-11 00:00:00,2025-06-13 00:00:00,3848923.5,3502727.194953659,618,-216220976.58337927,STOP,3
KRW-ADA,2025-07-10 00:00:00,2025-07-17 00:00:00,845.4225,1088.0838873005787,2763048,667813875.37988,TARGET,8
KRW-DOGE,2025-07-10 00:00:00,2025-07-18 00:00:00,244.82235,322.1437724862785,9541382,735048408.547123,TARGET,9
KRW-DOT,2025-07-10 00:00:00,2025-09-07 00:00:00,4912.455,5562.2175,475514,306480738.7154174,TIME_EXIT,60
KRW-ETH,2025-09-13 00:00:00,2025-09-22 00:00:00,6541269.0,6062230.87206864,261,-126673708.12338996,STOP,10
KRW-ADA,2025-09-13 00:00:00,2025-09-22 00:00:00,1273.6365,1160.9949244322938,1345545,-153202261.86724305,STOP,10
KRW-SOL,2025-09-11 00:00:00,2025-09-25 00:00:00,311955.9,284283.95329014113,6866,-192042477.5262363,STOP,15
KRW-DOGE,2025-09-09 00:00:00,2025-10-10 00:00:00,336.168,301.8738770604292,7965188,-275700198.2601237,STOP,32
KRW-ADA,2025-12-10 00:00:00,2025-12-12 00:00:00,696.348,607.2799124226518,3630645,-325741111.9033103,STOP,3
KRW-ETH,2026-01-06 00:00:00,2026-01-21 00:00:00,4676337.0,4362858.968915273,526,-167266752.89039135,STOP,16
KRW-BTC,2026-01-06 00:00:00,2026-01-25 00:00:00,136142037.0,129656401.28754984,18,-119133628.76869106,STOP,20
KRW-SOL,2026-01-06 00:00:00,2026-01-25 00:00:00,200100.0,184514.25362218573,12309,-194212060.58843374,STOP,20
KRW-XRP,2026-03-16 00:00:00,2026-05-14 00:00:00,2128.0635,2191.9035,1112279,68605387.07260323,TIME_EXIT,60
KRW-DOGE,2026-03-17 00:00:00,2026-05-15 00:00:00,151.0755,168.9155,12534145,221603740.00365257,TIME_EXIT,60
KRW-ETH,2026-04-08 00:00:00,2026-05-23 00:00:00,3342670.5,3057094.470217706,453,-130815488.25713325,STOP,46
KRW-SOL,2026-04-17 00:00:00,2026-05-28 00:00:00,131465.7,119818.61774706516,6933,-81620298.3470676,STOP,42
KRW-BTC,2026-04-08 00:00:00,2026-06-02 00:00:00,107348647.5,100912792.96663958,14,-91559793.55031228,STOP,56
KRW-BTC,2026-07-22 00:00:00,2026-07-28 00:00:00,97267609.5,92464994.24937034,24,-117539557.26010466,STOP,7
KRW-BTC,2026-08-20 00:00:00,2026-08-21 00:00:00,95394673.5,106054286.09573379,24,253413314.7824626,TARGET,2
