symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_type,holding_sessions
KRW-SOL,2026-04-06 09:00:00,2026-04-07 09:00:00,123761.85,120159.35400183848,16151,-60153698.54922366,STOP,7
KRW-ADA,2026-04-06 09:00:00,2026-04-07 13:00:00,379.1895,366.1445659840422,5271771,-70734520.09942341,STOP,8
KRW-BTC,2026-04-06 09:00:00,2026-04-07 21:00:00,104341144.5,102533044.50747162,19,-36319204.65361023,STOP,10
KRW-ETH,2026-04-06 09:00:00,2026-04-07 21:00:00,3188593.5,3106442.1423980906,626,-53397096.01486611,STOP,10
KRW-ETH,2026-04-18 01:00:00,2026-04-18 17:00:00,3588793.5,3477309.6677146014,438,-50377395.134734154,STOP,5
KRW-BTC,2026-04-17 21:00:00,2026-04-27 17:00:00,111952948.5,115672135.0,17,61291357.29025006,TIME_EXIT,60
KRW-ETH,2026-04-22 13:00:00,2026-04-27 21:00:00,3497748.0,3392387.2286121966,447,-48636210.03394294,STOP,33
KRW-SOL,2026-04-22 13:00:00,2026-04-27 21:00:00,129064.5,125199.4890927758,12119,-48380779.826557875,STOP,33
KRW-ADA,2026-04-22 13:00:00,2026-04-27 21:00:00,376.188,363.247741164024,4158003,-55342923.07579827,STOP,33
KRW-DOGE,2026-04-27 13:00:00,2026-04-27 21:00:00,149.0745,144.3498817946464,4198087,-20450268.80920589,STOP,3
KRW-SOL,2026-05-04 13:00:00,2026-05-04 17:00:00,125962.95,123697.36864189676,15262,-36482460.578927755,STOP,2
KRW-DOT,2026-05-04 13:00:00,2026-05-04 17:00:00,1842.921,1794.4552448457025,1043201,-52456781.51071811,STOP,2
KRW-ADA,2026-05-04 13:00:00,2026-05-06 17:00:00,374.187,398.7318281667242,5137908,124123476.08114338,TARGET,14
KRW-XRP,2026-05-04 13:00:00,2026-05-07 21:00:00,2084.0415,2053.0466596629735,922504,-30501104.37808919,STOP,21
KRW-SOL,2026-05-05 13:00:00,2026-05-09 01:00:00,125862.9,133368.14443876458,9023,66550299.71398711,TARGET,22
KRW-DOT,2026-05-21 13:00:00,2026-05-23 13:00:00,1896.948,1838.49689785714,1020996,-61585278.63291788,STOP,13
KRW-BTC,2026-06-15 09:00:00,2026-06-17 17:00:00,99249600.0,97009298.09905642,19,-44430195.6498692,STOP,15
KRW-XRP,2026-06-15 09:00:00,2026-06-18 21:00:00,1788.894,1733.1646791316393,1075786,-61847313.88878465,STOP,22
KRW-ETH,2026-06-15 09:00:00,2026-06-19 01:00:00,2606302.5,2533344.3661708445,738,-55739632.45953369,STOP,23
KRW-ETH,2026-06-22 21:00:00,2026-06-23 13:00:00,2665332.0,2590840.6788674686,709,-54677659.8976233,STOP,5
KRW-ETH,2026-06-30 05:00:00,2026-06-30 21:00:00,2458228.5,2370069.4882537974,612,-55430774.373081446,STOP,5
KRW-ADA,2026-07-01 13:00:00,2026-07-03 21:00:00,228.114,257.8228819835036,6548717,192963928.93637753,TARGET,15
KRW-DOT,2026-07-01 13:00:00,2026-07-08 21:00:00,1274.637,1227.575060672308,1171984,-56622116.1508832,STOP,45
KRW-SOL,2026-06-30 01:00:00,2026-07-09 21:00:00,112256.1,115942.0,16757,59852668.51915002,TIME_EXIT,60
KRW-ADA,2026-07-12 01:00:00,2026-07-12 09:00:00,257.1285,246.46869392101888,7425425,-81023302.15085363,STOP,3
KRW-BTC,2026-07-21 17:00:00,2026-07-24 01:00:00,96487219.5,94788692.46931137,9,-16147484.8800596,STOP,15
KRW-XRP,2026-07-21 13:00:00,2026-07-24 17:00:00,1641.8205,1608.5339352571805,922641,-32211004.514129877,STOP,20
KRW-ADA,2026-07-21 13:00:00,2026-07-24 17:00:00,252.126,241.4777156879832,6008153,-65459344.656708,STOP,20
KRW-ETH,2026-07-20 21:00:00,2026-07-24 21:00:00,2777388.0,2711246.939904659,681,-46910942.12196493,STOP,25
KRW-DOGE,2026-08-09 01:00:00,2026-08-10 05:00:00,100.05,97.79737751316001,18600323,-43739518.415510654,STOP,8
KRW-ETH,2026-08-17 13:00:00,2026-08-19 21:00:00,2687343.0,2786906.2639980344,689,66713210.023198366,TARGET,15
KRW-SOL,2026-08-19 01:00:00,2026-08-20 05:00:00,108454.2,114277.74531816365,13663,78045506.39762902,TARGET,8
