symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_type,holding_sessions
KRW-XRP,2023-12-07 00:00:00,2023-12-18 00:00:00,882.441,822.3640603937858,2265307,-138023665.2470069,STOP,12
KRW-DOGE,2024-02-15 00:00:00,2024-02-28 00:00:00,115.95795000000001,140.16632908705782,13600861,327513043.63908577,TARGET,14
KRW-DOT,2024-02-14 00:00:00,2024-03-02 00:00:00,9973.9845,12553.926747220326,197655,507712107.725549,TARGET,18
KRW-XRP,2024-02-16 00:00:00,2024-03-04 00:00:00,772.48605,923.6737622653166,1633301,245549871.87188745,TARGET,18
KRW-SOL,2024-02-29 00:00:00,2024-03-12 00:00:00,167383.65,217675.54518634966,8305,416075231.2146225,TARGET,13
KRW-DOT,2024-09-25 00:00:00,2024-10-01 00:00:00,6157.077,5634.768114524268,368783,-194792953.7208314,STOP,7
KRW-BTC,2024-10-15 00:00:00,2024-11-06 00:00:00,88684320.0,102230067.1701687,25,336257249.41459036,TARGET,23
KRW-BTC,2025-01-18 00:00:00,2025-02-18 00:00:00,152510217.0,143146683.56227764,15,-142670428.3200524,STOP,32
KRW-SOL,2025-05-09 00:00:00,2025-06-05 00:00:00,230615.25,209731.4243125435,9844,-207747766.398288,STOP,28
KRW-DOGE,2025-05-09 00:00:00,2025-06-05 00:00:00,277.83885,249.0883133866819,8171603,-237090891.03555584,STOP,28
KRW-ETH,2025-06-11 00:00:00,2025-06-13 00:00:00,3848923.5,3502727.194953659,566,-198027625.80290103,STOP,3
KRW-DOGE,2025-07-10 00:00:00,2025-07-18 00:00:00,244.82235,322.1437724862785,8748710,673982591.0272012,TARGET,9
KRW-ADA,2025-12-10 00:00:00,2025-12-12 00:00:00,696.348,607.2799124226518,3269355,-293326208.67825055,STOP,3
KRW-ETH,2026-01-06 00:00:00,2026-01-21 00:00:00,4676337.0,4362858.968915273,474,-150730876.1787932,STOP,16
KRW-BTC,2026-01-06 00:00:00,2026-01-25 00:00:00,136142037.0,129656401.28754984,16,-105896558.90550303,STOP,20
KRW-SOL,2026-01-06 00:00:00,2026-01-25 00:00:00,200100.0,184514.25362218573,11084,-174883945.04526734,STOP,20
KRW-DOGE,2026-03-17 00:00:00,2026-05-15 00:00:00,151.0755,168.9155,14110255,249469371.8961475,TIME_EXIT,60
KRW-BTC,2026-08-20 00:00:00,2026-08-21 00:00:00,95394673.5,106054286.09573379,22,232295538.55059028,TARGET,2
KRW-DOGE,2026-08-20 00:00:00,2026-08-21 00:00:00,103.0515,121.57710516778455,21169831,389806255.7701421,TARGET,2
KRW-SOL,2026-08-20 00:00:00,2026-08-22 00:00:00,117458.7,137434.0963757909,18573,368635974.9340205,TARGET,3
