symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_type,holding_sessions
KRW-SOL,2023-07-01 00:00:00,2023-07-14 00:00:00,25102.545,35000.54700028609,63723,628815406.7984631,TARGET,14
KRW-XRP,2023-07-14 00:00:00,2023-07-14 00:00:00,1040.52,928.7669403853287,922472,-103997374.44010055,STOP,1
KRW-ADA,2023-07-14 00:00:00,2023-07-16 00:00:00,455.2275,405.18913573932906,2108509,-106413439.49900603,STOP,3
KRW-ETH,2023-07-01 00:00:00,2023-07-23 00:00:00,2575287.0,2416687.734523946,621,-100040152.01569939,STOP,23
KRW-DOGE,2023-07-26 00:00:00,2023-08-16 00:00:00,105.0525,93.96346670837652,14005330,-156699212.77468276,STOP,22
KRW-BTC,2023-06-22 00:00:00,2023-08-17 00:00:00,39154567.5,36817103.69485698,51,-121147931.67776299,STOP,57
KRW-SOL,2023-07-14 00:00:00,2023-08-17 00:00:00,33116.55,29053.668542369902,28984,-118659526.9750669,STOP,35
KRW-ETH,2023-10-02 00:00:00,2023-10-02 00:00:00,2341170.0,2238000.4969974617,677,-71395802.74595213,STOP,1
KRW-DOT,2023-10-02 00:00:00,2023-10-04 00:00:00,5757.8775,5472.23014340321,275571,-80263473.70143414,STOP,3
KRW-ADA,2023-10-02 00:00:00,2023-10-09 00:00:00,358.179,339.1461637737147,4429934,-85858760.54128098,STOP,8
KRW-BTC,2023-10-02 00:00:00,2023-10-11 00:00:00,37806894.0,36372512.88803048,41,-60330303.4319551,STOP,10
KRW-SOL,2023-10-01 00:00:00,2023-10-20 00:00:00,28954.47,35713.422961519966,68499,460766675.91117024,TARGET,20
KRW-SOL,2023-10-21 00:00:00,2023-10-30 00:00:00,36658.32,47168.17648126363,54992,575653134.270401,TARGET,10
KRW-SOL,2023-10-31 00:00:00,2023-11-01 00:00:00,47383.68,63039.07417241981,17835,278229260.1547748,TARGET,2
KRW-ADA,2023-10-24 00:00:00,2023-11-02 00:00:00,375.1875,437.7174641901642,4298555,267041331.87027884,TARGET,10
KRW-DOGE,2023-10-24 00:00:00,2023-11-09 00:00:00,90.045,103.33967408165256,17910648,236384405.33816648,TARGET,17
KRW-ADA,2023-11-02 00:00:00,2023-11-09 00:00:00,416.208,506.1213433311287,2164141,193587127.3762691,TARGET,8
KRW-DOT,2023-10-24 00:00:00,2023-11-10 00:00:00,5822.91,6975.108314529305,276968,317349742.01028347,TARGET,18
