symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_type,holding_sessions
KRW-DOT,2026-04-06 21:00:00,2026-04-07 05:00:00,1958.979,1899.3420897958151,818030,-50362892.854872465,STOP,3
KRW-BTC,2026-04-06 09:00:00,2026-04-07 21:00:00,104341144.5,102426080.74428372,19,-38350499.99843001,STOP,10
KRW-ADA,2026-04-08 09:00:00,2026-04-08 21:00:00,392.196,376.6696389819031,5051725,-80376954.99918842,STOP,4
KRW-DOGE,2026-04-08 09:00:00,2026-04-09 09:00:00,141.0705,136.3012663157672,14044514,-68929345.07509255,STOP,7
KRW-SOL,2026-04-17 05:00:00,2026-04-18 17:00:00,132766.35,128533.59147920647,9409,-41055310.49683523,STOP,10
KRW-BTC,2026-04-18 01:00:00,2026-04-19 13:00:00,114270106.5,111740375.80576278,8,-21141887.4831208,STOP,10
KRW-ETH,2026-04-14 09:00:00,2026-04-20 05:00:00,3492745.5,3382988.2445651484,558,-63162878.24738073,STOP,36
KRW-DOT,2026-04-16 17:00:00,2026-04-26 13:00:00,1877.9385,1876.0615,831566,-3121698.763999939,TIME_EXIT,60
KRW-BTC,2026-04-22 13:00:00,2026-05-02 09:00:00,114760351.5,116324808.5,14,20284801.880000114,TIME_EXIT,60
KRW-DOGE,2026-04-29 13:00:00,2026-05-04 09:00:00,151.0755,166.52131496058706,10619907,162346694.10145426,TARGET,30
KRW-BTC,2026-05-04 13:00:00,2026-05-04 17:00:00,118520230.5,116746590.03206061,16,-30260382.051286936,STOP,2
KRW-ETH,2026-05-04 13:00:00,2026-05-04 17:00:00,3518758.5,3446032.0444284696,557,-42448329.919965744,STOP,2
KRW-DOT,2026-05-04 13:00:00,2026-05-04 17:00:00,1842.921,1794.338525454796,1064747,-53664424.608557224,STOP,2
KRW-XRP,2026-05-04 13:00:00,2026-05-07 21:00:00,2084.0415,2051.6900882859527,941557,-32407711.672778845,STOP,21
KRW-DOGE,2026-05-04 13:00:00,2026-05-07 21:00:00,167.0835,160.4863309661266,11744097,-79401298.99377537,STOP,21
KRW-SOL,2026-05-06 21:00:00,2026-05-10 17:00:00,131265.6,139253.9493222788,8776,68918713.86989236,TARGET,24
KRW-SOL,2026-05-11 05:00:00,2026-05-11 05:00:00,141270.6,137671.09805191628,10920,-40829582.94443774,STOP,1
