symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_type,holding_sessions
KRW-BTC,2023-12-12 00:00:00,2023-12-13 00:00:00,56978475.0,59026472.0,35,69649808.42750001,EXIT_RULE,2
KRW-ETH,2023-12-12 00:00:00,2023-12-14 00:00:00,3074536.5,3157420.5,650,51849213.97500014,EXIT_RULE,3
KRW-BTC,2023-12-18 00:00:00,2023-12-20 00:00:00,56738355.0,59321324.5,28,70698310.48699999,EXIT_RULE,3
KRW-XRP,2023-12-12 00:00:00,2023-12-21 00:00:00,853.4264999999999,844.5775000000001,2342322,-22715843.44064355,EXIT_RULE,10
KRW-XRP,2023-12-25 00:00:00,2023-12-25 00:00:00,825.4124999999999,859.57,2462865,82050369.02506924,EXIT_RULE,1
KRW-BTC,2023-12-25 00:00:00,2024-01-01 00:00:00,58031001.0,58809580.5,35,25205572.32375002,EXIT_RULE,8
KRW-DOGE,2024-01-01 00:00:00,2024-01-01 00:00:00,121.06049999999999,122.9385,13572261,23832897.10213065,EXIT_RULE,1
KRW-ETH,2024-01-08 00:00:00,2024-01-08 00:00:00,2996497.5,3129434.5,137,17792742.657999992,EXIT_RULE,1
KRW-XRP,2024-01-04 00:00:00,2024-01-10 00:00:00,796.3979999999999,817.591,2585496,52707935.67622805,EXIT_RULE,7
KRW-ADA,2024-01-04 00:00:00,2024-01-10 00:00:00,762.381,771.614,2700860,22865487.512150288,EXIT_RULE,7
KRW-DOGE,2024-01-04 00:00:00,2024-01-10 00:00:00,113.0565,113.94300000000001,18212880,14078560.793220043,EXIT_RULE,7
KRW-DOT,2024-01-04 00:00:00,2024-01-10 00:00:00,10435.215,10884.555,197320,86560360.29180002,EXIT_RULE,7
KRW-DOGE,2024-01-19 00:00:00,2024-01-20 00:00:00,109.05449999999999,120.93950000000001,15446621,181806775.50986338,EXIT_RULE,2
KRW-BTC,2024-01-15 00:00:00,2024-01-26 00:00:00,57408690.0,57474248.5,36,292213.1069998741,EXIT_RULE,12
KRW-DOT,2024-01-19 00:00:00,2024-01-26 00:00:00,9729.8625,9175.41,173129,-97628332.33382607,EXIT_RULE,8
KRW-SOL,2024-01-23 00:00:00,2024-01-26 00:00:00,116108.025,126986.475,9017,96994992.09675014,EXIT_RULE,4
KRW-ADA,2024-01-19 00:00:00,2024-01-27 00:00:00,696.348,669.6650000000001,2419082,-66200613.73603296,EXIT_RULE,9
KRW-ETH,2024-01-23 00:00:00,2024-01-29 00:00:00,3199599.0,3163417.5,327,-12871703.697749972,EXIT_RULE,7
KRW-DOGE,2024-02-06 00:00:00,2024-02-07 00:00:00,108.15404999999998,108.84555000000002,19586271,11418799.910254717,EXIT_RULE,2
KRW-DOGE,2024-02-07 00:00:00,2024-02-07 00:00:00,107.55375,108.84555000000002,15756472,18649365.773965597,EXIT_RULE,1
KRW-SOL,2024-02-22 00:00:00,2024-02-26 00:00:00,146723.32499999998,150474.725,14478,52161352.51605058,EXIT_RULE,5
KRW-ADA,2024-02-24 00:00:00,2024-02-26 00:00:00,813.0063,848.5755,2090381,72616510.35286713,EXIT_RULE,3
KRW-XRP,2024-03-17 00:00:00,2024-03-18 00:00:00,891.74565,943.3281000000001,2410203,122112725.60861444,EXIT_RULE,2
KRW-BTC,2024-03-17 00:00:00,2024-03-24 00:00:00,96817384.5,96575688.0,22,-7444646.7975001335,EXIT_RULE,8
KRW-ADA,2024-03-17 00:00:00,2024-03-24 00:00:00,975.58755,928.6354500000001,2203070,-105536331.22930479,EXIT_RULE,8
KRW-ETH,2024-03-17 00:00:00,2024-03-25 00:00:00,5212605.0,5093452.0,412,-51214083.7420001,EXIT_RULE,9
KRW-DOT,2024-03-20 00:00:00,2024-03-25 00:00:00,13076.535,13803.095000000001,67932,48443680.40742004,EXIT_RULE,6
KRW-BTC,2024-04-03 00:00:00,2024-04-04 00:00:00,96101026.5,99311319.5,14,43576215.57800007,EXIT_RULE,2
KRW-DOT,2024-04-03 00:00:00,2024-04-07 00:00:00,12586.289999999999,12463.765000000001,109353,-14768125.657207489,EXIT_RULE,5
KRW-XRP,2024-03-28 00:00:00,2024-04-08 00:00:00,881.4404999999999,875.2621500000001,2439824,-17217109.253566027,EXIT_RULE,12
KRW-ADA,2024-04-02 00:00:00,2024-04-08 00:00:00,894.0468,873.3631,1924337,-41502955.33926797,EXIT_RULE,7
KRW-SOL,2024-04-06 00:00:00,2024-04-20 00:00:00,253376.625,220639.625,4380,-144426155.58749986,EXIT_RULE,15
KRW-XRP,2024-04-13 00:00:00,2024-04-20 00:00:00,813.4064999999999,771.614,2363667,-100656783.42258668,EXIT_RULE,8
KRW-ADA,2024-04-13 00:00:00,2024-04-20 00:00:00,747.87375,740.2297000000001,2570784,-21563997.705002308,EXIT_RULE,8
KRW-DOT,2024-04-13 00:00:00,2024-04-20 00:00:00,10785.39,10594.7,178261,-35898208.201744795,EXIT_RULE,8
KRW-BTC,2024-04-14 00:00:00,2024-04-20 00:00:00,97141546.5,94757597.5,7,-17359290.00399995,EXIT_RULE,7
KRW-ETH,2024-04-27 00:00:00,2024-04-27 00:00:00,4514256.0,4686655.5,368,61750048.28399992,EXIT_RULE,1
KRW-DOGE,2024-04-26 00:00:00,2024-05-03 00:00:00,217.60875,207.29630000000003,9561341,-100632182.03328538,EXIT_RULE,8
KRW-BTC,2024-04-27 00:00:00,2024-05-03 00:00:00,92000977.5,89246354.5,18,-51214439.987999916,EXIT_RULE,7
KRW-SOL,2024-04-27 00:00:00,2024-05-03 00:00:00,201100.5,203648.125,8276,19409294.689749956,EXIT_RULE,7
KRW-ETH,2024-05-01 00:00:00,2024-05-03 00:00:00,4329163.5,4397800.0,233,14975613.252249956,EXIT_RULE,3
KRW-BTC,2024-05-03 00:00:00,2024-05-03 00:00:00,83137548.0,89246354.5,9,54203530.93875003,EXIT_RULE,1
KRW-ETH,2024-05-03 00:00:00,2024-05-03 00:00:00,4203100.5,4397800.0,192,36556617.552000046,EXIT_RULE,1
