symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_type,holding_sessions
KRW-DOGE,2026-03-25 17:00:00,2026-03-26 17:00:00,144.072,137.25321007690295,6759522,-47042572.47188759,STOP,7
KRW-ETH,2026-03-25 21:00:00,2026-03-26 17:00:00,3261630.0,3146971.9059817004,238,-28051250.003167152,STOP,6
KRW-SOL,2026-03-24 17:00:00,2026-03-26 21:00:00,136468.2,131029.752300912,14648,-81621536.89889312,STOP,14
KRW-ADA,2026-03-25 13:00:00,2026-03-27 01:00:00,399.1995,383.5242459672014,3049408,-48993667.076019526,STOP,10
KRW-BTC,2026-03-24 17:00:00,2026-03-27 17:00:00,106078012.5,103065374.522046,18,-56109774.08637047,STOP,19
KRW-DOGE,2026-03-29 01:00:00,2026-03-30 01:00:00,143.0715,136.87450625628492,13606224,-86222189.0381,STOP,7
KRW-BTC,2026-04-01 21:00:00,2026-04-02 13:00:00,103631790.0,101042127.07285574,11,-29611998.74248767,STOP,5
KRW-ADA,2026-04-06 13:00:00,2026-04-07 05:00:00,386.193,372.4921598958963,2549566,-35898355.04504669,STOP,5
KRW-XRP,2026-04-06 17:00:00,2026-04-07 13:00:00,2021.01,1979.7088276845072,389755,-16876988.499166965,STOP,6
KRW-BTC,2026-04-04 21:00:00,2026-04-08 05:00:00,101954952.0,107206235.0783251,12,61760429.81743121,TARGET,21
KRW-ADA,2026-04-08 09:00:00,2026-04-08 21:00:00,392.196,375.89038697446625,3139024,-52389231.42325616,STOP,4
KRW-DOGE,2026-03-30 13:00:00,2026-04-09 09:00:00,139.0695,136.9315,13873833,-31576850.844916582,TIME_EXIT,60
KRW-DOT,2026-04-08 09:00:00,2026-04-09 09:00:00,1960.98,1883.616004562502,627804,-49776252.16666746,STOP,7
KRW-ETH,2026-03-30 21:00:00,2026-04-09 17:00:00,3139569.0,3254372.0,491,54798560.48449993,TIME_EXIT,60
KRW-ADA,2026-04-11 05:00:00,2026-04-11 21:00:00,382.191,368.1066585117619,2241716,-32414070.796571255,STOP,5
KRW-DOT,2026-04-10 05:00:00,2026-04-12 09:00:00,1930.965,1852.8984126948142,693276,-55433322.22623968,STOP,14
KRW-XRP,2026-04-14 05:00:00,2026-04-17 01:00:00,2006.0025,2116.5119545962234,551814,59843233.58293605,TARGET,18
KRW-BTC,2026-04-08 09:00:00,2026-04-18 05:00:00,107348647.5,113716113.5,11,68826269.8145001,TIME_EXIT,60
KRW-SOL,2026-04-10 01:00:00,2026-04-19 21:00:00,124262.1,128035.95,13466,49119941.329349756,TIME_EXIT,60
KRW-ADA,2026-04-17 01:00:00,2026-04-20 05:00:00,374.187,360.66297396275075,1893285,-26300475.852410555,STOP,20
KRW-DOGE,2026-04-11 01:00:00,2026-04-20 21:00:00,138.069,139.93,7756664,13356979.28633225,TIME_EXIT,60
KRW-ETH,2026-04-22 21:00:00,2026-04-23 17:00:00,3545772.0,3441238.4269666392,316,-34136556.72600269,STOP,6
KRW-DOT,2026-04-16 17:00:00,2026-04-26 13:00:00,1877.9385,1876.0615,471556,-1770221.223999977,TIME_EXIT,60
KRW-ETH,2026-04-26 21:00:00,2026-04-27 21:00:00,3471735.0,3410114.3666245514,372,-24202899.597859144,STOP,7
KRW-DOGE,2026-04-22 01:00:00,2026-04-29 17:00:00,141.0705,156.5799836974302,12389580,190312106.78810334,TARGET,47
KRW-BTC,2026-04-22 13:00:00,2026-05-02 09:00:00,114760351.5,116324808.5,12,17386973.03999996,TIME_EXIT,60
KRW-ETH,2026-05-04 13:00:00,2026-05-04 17:00:00,3518758.5,3446500.4874620764,555,-42036056.32756853,STOP,2
KRW-XRP,2026-05-06 17:00:00,2026-05-07 09:00:00,2103.051,2067.151008125342,372772,-14159779.042586446,STOP,5
KRW-DOGE,2026-05-04 17:00:00,2026-05-07 21:00:00,166.083,159.37107435826144,9415989,-64731654.00350952,STOP,20
KRW-DOT,2026-05-05 17:00:00,2026-05-09 01:00:00,1857.9285,2023.894690394699,879069,144189537.80899906,TARGET,21
KRW-SOL,2026-05-06 05:00:00,2026-05-09 01:00:00,127963.95,135509.86387462012,7658,56777767.21851492,TARGET,18
KRW-ADA,2026-05-05 17:00:00,2026-05-09 09:00:00,380.19,409.26567081610557,4295872,123209659.8843751,TARGET,23
KRW-DOT,2026-05-11 05:00:00,2026-05-11 05:00:00,2068.0335,2004.3523758081499,449025,-29508718.324187875,STOP,1
