symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_type,holding_sessions
KRW-SOL,2023-07-01 00:00:00,2023-07-14 00:00:00,25102.545,35000.54700028609,40798,402592642.633958,TARGET,14
KRW-ADA,2023-07-14 00:00:00,2023-07-16 00:00:00,455.2275,405.18913573932906,1439822,-72665761.1071794,STOP,3
KRW-DOT,2023-06-24 00:00:00,2023-08-16 00:00:00,6768.3825,6222.700566530807,189139,-104438295.44448996,STOP,54
KRW-ETH,2023-06-22 00:00:00,2023-08-17 00:00:00,2469234.0,2324459.2807415854,647,-95220003.13651395,STOP,57
KRW-DOGE,2023-07-02 00:00:00,2023-08-17 00:00:00,91.14555,83.11383676486253,8989010,-72980360.27289474,STOP,47
KRW-SOL,2023-08-12 00:00:00,2023-08-17 00:00:00,32836.41,29656.627231246086,28207,-90573503.1088326,STOP,6
KRW-BTC,2023-06-21 00:00:00,2023-08-19 00:00:00,36973477.5,36037972.0,54,-52488606.13649988,TIME_EXIT,60
KRW-BTC,2023-08-30 00:00:00,2023-08-31 00:00:00,37459720.5,35830113.477957375,52,-86645100.82964325,STOP,2
KRW-BTC,2023-09-08 00:00:00,2023-09-11 00:00:00,35661822.0,34098725.64649341,55,-87888714.50314093,STOP,4
KRW-ETH,2023-10-02 00:00:00,2023-10-02 00:00:00,2341170.0,2238000.4969974617,665,-70130293.68693972,STOP,1
KRW-ADA,2023-10-02 00:00:00,2023-10-09 00:00:00,358.179,339.1461637737147,4348590,-84282191.90222931,STOP,8
KRW-XRP,2023-10-04 00:00:00,2023-10-09 00:00:00,732.366,686.6535644146529,1258965,-58443604.44966304,STOP,6
KRW-BTC,2023-10-02 00:00:00,2023-10-11 00:00:00,37806894.0,36372512.88803048,41,-60330303.4319551,STOP,10
KRW-SOL,2023-10-01 00:00:00,2023-10-20 00:00:00,28954.47,35713.422961519966,67242,452311315.8092663,TARGET,20
KRW-BTC,2023-10-17 00:00:00,2023-10-23 00:00:00,38705343.0,44091261.07854447,38,203091751.50719738,TARGET,7
KRW-ADA,2023-10-22 00:00:00,2023-10-30 00:00:00,349.1745,406.1949148581195,4143632,234706629.21976566,TARGET,9
KRW-XRP,2023-10-20 00:00:00,2023-10-31 00:00:00,706.353,830.7612739979959,1711330,211588356.65572977,TARGET,12
KRW-ETH,2023-10-24 00:00:00,2023-11-09 00:00:00,2362180.5,2717760.3389848387,631,222768157.06473327,TARGET,17
KRW-DOGE,2023-10-24 00:00:00,2023-11-09 00:00:00,90.045,103.33967408165256,16572151,218718946.36694908,TARGET,17
KRW-DOT,2023-10-24 00:00:00,2023-11-10 00:00:00,5822.91,6975.108314529305,256270,293633987.98769283,TARGET,18
KRW-BTC,2023-11-12 00:00:00,2023-11-15 00:00:00,49653814.5,47070069.922641,45,-118444793.38066435,STOP,4
KRW-DOGE,2023-11-17 00:00:00,2023-11-21 00:00:00,108.054,96.78169838482037,20692043,-235366184.26972342,STOP,5
KRW-DOGE,2023-12-01 00:00:00,2023-12-06 00:00:00,112.056,146.54670645789375,19533165,671186995.5412598,TARGET,6
KRW-BTC,2023-12-04 00:00:00,2023-12-06 00:00:00,53787880.5,61099765.73686551,32,232142125.23990655,TARGET,3
KRW-ADA,2023-12-06 00:00:00,2023-12-08 00:00:00,581.2905,728.0836752100284,1454860,212611040.82978904,TARGET,3
KRW-DOT,2023-12-05 00:00:00,2023-12-09 00:00:00,7633.815,9704.340928599462,138478,285521812.9622562,TARGET,5
KRW-XRP,2023-12-09 00:00:00,2023-12-11 00:00:00,914.457,849.891646352295,1665426,-108998014.7184329,STOP,3
KRW-SOL,2023-12-08 00:00:00,2023-12-22 00:00:00,92876.415,130613.1996277152,17648,664006702.7504432,TARGET,15
KRW-DOT,2023-12-22 00:00:00,2024-01-03 00:00:00,11445.72,9980.792989126347,154614,-228154644.2988696,STOP,13
KRW-ETH,2023-12-04 00:00:00,2024-01-10 00:00:00,2943471.0,3451774.7498873984,594,300033039.4453981,TARGET,38
