symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_type,holding_sessions
KRW-XRP,2023-07-22 00:00:00,2023-08-04 00:00:00,1005.5025,867.4948400940841,1988061,-276229462.8426876,STOP,14
KRW-DOT,2023-07-23 00:00:00,2023-08-16 00:00:00,6923.46,6234.65897382931,58282,-40528142.1522966,STOP,25
KRW-ADA,2023-08-10 00:00:00,2023-08-16 00:00:00,399.1995,369.60014535551403,1671829,-50127710.24708378,STOP,7
KRW-BTC,2023-07-22 00:00:00,2023-08-17 00:00:00,38857419.0,37192345.648889214,51,-86858009.90519667,STOP,27
KRW-ETH,2023-07-22 00:00:00,2023-08-17 00:00:00,2460229.5,2338575.62658133,812,-100731260.09735227,STOP,27
KRW-SOL,2023-07-22 00:00:00,2023-08-21 00:00:00,33136.56,28135.13586243586,60326,-303564050.6849928,STOP,31
KRW-SOL,2023-10-06 00:00:00,2023-10-21 00:00:00,30875.43,40061.453152414775,59188,541603032.2251132,TARGET,16
KRW-BTC,2023-10-18 00:00:00,2023-10-23 00:00:00,38671326.0,44010000.81918415,37,196001363.76365876,TARGET,6
KRW-ADA,2023-10-25 00:00:00,2023-11-02 00:00:00,375.1875,442.6614957658668,5263836,353019536.48297906,TARGET,9
KRW-XRP,2023-10-25 00:00:00,2023-11-06 00:00:00,752.376,908.2727742622874,2624918,407036715.4733951,TARGET,13
KRW-ETH,2023-10-28 00:00:00,2023-11-09 00:00:00,2416207.5,2831591.3962207474,490,202252398.41859198,TARGET,13
KRW-DOGE,2023-10-29 00:00:00,2023-11-17 00:00:00,93.84689999999999,114.46280380927352,10103340,207237173.71094358,TARGET,20
KRW-DOT,2023-11-03 00:00:00,2023-12-05 00:00:00,6303.15,7949.421863733332,194202,318325349.5002005,TARGET,33
KRW-XRP,2023-12-26 00:00:00,2024-01-03 00:00:00,859.4295,798.8606541156818,2644022,-162337638.8576796,STOP,9
KRW-BTC,2024-01-16 00:00:00,2024-01-23 00:00:00,58445208.0,53099901.352764025,30,-162032376.05737066,STOP,8
KRW-ETH,2024-01-31 00:00:00,2024-02-18 00:00:00,3217608.0,3984536.522615921,437,333574095.804966,TARGET,19
KRW-BTC,2024-02-13 00:00:00,2024-02-27 00:00:00,67035501.0,77575346.70449616,16,167480644.49030268,TARGET,15
KRW-DOGE,2024-02-28 00:00:00,2024-02-28 00:00:00,134.46720000000002,166.72168170496028,11213065,359982974.64511275,TARGET,1
