symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_type,holding_sessions
KRW-ETH,2023-10-02 00:00:00,2023-10-02 00:00:00,2341170.0,2238000.4969974617,683,-72028557.27545857,STOP,1
KRW-DOT,2023-10-02 00:00:00,2023-10-09 00:00:00,5757.8775,5330.845934479815,277741,-120144070.60684967,STOP,8
KRW-BTC,2023-10-02 00:00:00,2023-10-11 00:00:00,37806894.0,36372512.88803048,42,-61801774.247368574,STOP,10
KRW-ADA,2023-10-02 00:00:00,2023-10-19 00:00:00,358.179,329.71929041057206,4464814,-128602978.76961255,STOP,18
KRW-SOL,2023-10-01 00:00:00,2023-10-21 00:00:00,28954.47,39100.13805977994,69039,698097566.1362281,TARGET,21
KRW-SOL,2023-10-21 00:00:00,2023-10-25 00:00:00,36658.32,44009.72078888454,41538,303687091.42954135,TARGET,5
KRW-ADA,2023-10-24 00:00:00,2023-11-02 00:00:00,375.1875,437.7174641901642,4684405,291011688.8628378,TARGET,10
KRW-XRP,2023-10-25 00:00:00,2023-11-06 00:00:00,752.376,908.2727742622874,476150,73834890.10805565,TARGET,13
KRW-ADA,2023-11-02 00:00:00,2023-11-06 00:00:00,416.208,479.0849091317901,1566151,97773652.1711973,TARGET,5
KRW-BTC,2023-10-24 00:00:00,2023-11-09 00:00:00,44201089.5,49205320.99804186,39,193343603.41892076,TARGET,17
KRW-DOGE,2023-10-24 00:00:00,2023-11-09 00:00:00,90.045,103.33967408165256,19518355,257602892.9748509,TARGET,17
KRW-DOT,2023-10-24 00:00:00,2023-11-10 00:00:00,5822.91,6975.108314529305,301830,345836604.3404429,TARGET,18
KRW-ETH,2023-11-10 00:00:00,2023-11-11 00:00:00,2856427.5,2737495.9397663823,553,-67315872.64028573,STOP,2
KRW-BTC,2023-11-10 00:00:00,2023-11-14 00:00:00,49424700.0,47580141.02314228,31,-58684903.31844807,STOP,5
KRW-DOGE,2023-11-12 00:00:00,2023-11-14 00:00:00,104.052,97.14544256863971,13514776,-94700145.80001378,STOP,3
KRW-XRP,2023-11-06 00:00:00,2023-11-16 00:00:00,888.444,821.8624014538611,1048074,-70678706.15034449,STOP,11
KRW-ADA,2023-11-06 00:00:00,2023-11-16 00:00:00,458.229,535.201613000444,2032074,155404683.33052313,TARGET,11
KRW-BTC,2023-11-16 00:00:00,2023-11-16 00:00:00,50488231.5,48450034.22437421,33,-68892991.48010325,STOP,1
KRW-DOGE,2023-11-18 00:00:00,2023-11-18 00:00:00,116.058,107.50869250013325,17729394,-153555892.0805986,STOP,1
KRW-BTC,2023-12-02 00:00:00,2023-12-05 00:00:00,51735855.0,59010975.45542687,39,281570134.5677674,TARGET,4
KRW-ETH,2023-12-03 00:00:00,2023-12-07 00:00:00,2887443.0,3241875.0136381923,562,197468453.30283165,TARGET,5
KRW-SOL,2023-11-11 00:00:00,2023-12-08 00:00:00,76278.12,97873.66534551141,18088,389045195.4629457,TARGET,28
KRW-ADA,2023-12-05 00:00:00,2023-12-08 00:00:00,551.2755,647.024326904483,2356088,224181012.16244388,TARGET,4
KRW-DOT,2023-12-06 00:00:00,2023-12-09 00:00:00,8074.035,9602.728575964651,153471,233253696.50548792,TARGET,4
KRW-ETH,2023-12-08 00:00:00,2023-12-11 00:00:00,3228613.5,3083437.657589471,358,-53102808.74017787,STOP,4
KRW-ADA,2023-12-09 00:00:00,2023-12-13 00:00:00,743.3715,896.8582562272148,1819804,277823364.5936599,TARGET,5
KRW-ADA,2023-12-14 00:00:00,2023-12-15 00:00:00,923.4615,840.4063232970203,2082745,-174819597.44706392,STOP,2
KRW-DOT,2023-12-14 00:00:00,2023-12-15 00:00:00,10485.24,9600.239023178727,183432,-164179658.97437,STOP,2
KRW-XRP,2023-12-07 00:00:00,2023-12-18 00:00:00,882.441,822.3640603937858,1123374,-68446438.79314864,STOP,12
KRW-SOL,2023-12-08 00:00:00,2023-12-21 00:00:00,92876.415,119278.23277715064,12458,327592334.5667391,TARGET,14
KRW-SOL,2023-12-21 00:00:00,2023-12-23 00:00:00,111755.85,144608.29460782997,18255,597381412.5860281,TARGET,3
KRW-DOT,2023-12-22 00:00:00,2023-12-23 00:00:00,11445.72,10418.554234388443,168536,-174956868.13429284,STOP,2
KRW-DOGE,2023-12-05 00:00:00,2024-01-03 00:00:00,124.062,115.61242000915996,10469393,-89716596.4566021,STOP,30
KRW-BTC,2024-01-09 00:00:00,2024-01-10 00:00:00,63042505.5,59967345.30477625,42,-131739935.06629801,STOP,2
