unit_key,index_names,n_etfs,etfs,first,last,class,reason
mkf스타우량,MKF 스타우량,1,108630 FIRST 스타우량,20100104,20160311,포함,
mkf현대차그룹,MKF 현대차그룹,1,107560 GIANT 현대차그룹,20100104,20160928,포함,
사회책임투자지수,사회책임투자지수,2,120210 GREAT SRI | 148040 PIONEER SRI,20100104,20160907,제외,수동: ESG 선별 광범위 지수 — 가중치만 다른 시장 전체
mkff15vw,MKF F15 VW,1,105270 KINDEX 성장대형F15,20100104,20160428,포함,
mkfsamssw,MKF SAMs SW,1,108450 KINDEX 삼성그룹주,20100104,20260921,포함,
스타지수,스타지수,1,108440 KINDEX 코스닥스타,20100104,20160428,포함,
코스피200,코스피 200,23,0007N0 아이엠에셋 200 | 0098Z0 FOCUS 200 | 069500 KODEX 200 | 069660 KOSEF 200 | 102110 TIGER200 | 105190 KINDEX200 | 108590 TREX 200 | 148020 RISE 200 | 152100 아리랑 200 | 152870 파워 K200 | 293180 HANARO 200 | 391670 HK 베스트일레븐액티브 | 391680 HK 하이볼액티브 | 433250 UNICORN R&D 액티브 | 434960 대신343 K200 | 441800 TIME,20100104,20260921,제외,시장 대표지수(§1 목록)
mkff15pw,MKF F15 PW,1,105450 KODEX 15,20100104,20100413,포함,
krx건설,KRX 건설,1,117700 KODEX 건설,20100104,20260921,포함,
krx반도체,KRX 반도체,2,091160 KODEX 반도체 | 091230 TIGER 반도체,20100104,20260921,포함,
삼성그룹,삼성그룹,1,102780 KODEX 삼성그룹,20100104,20260921,포함,
krx에너지화학,KRX 에너지화학,1,117460 KODEX 에너지화학,20100104,20260921,포함,
krx은행,KRX 은행,3,091170 KODEX 은행 | 091190 KOSEF Banks | 091220 TIGER 은행,20100104,20260921,포함,
krx자동차,KRX 자동차,1,091180 KODEX 자동차,20100104,20260921,포함,
krx기계장비,KRX 기계장비,1,102960 KODEX 조선,20100104,20260921,포함,
krx증권,KRX 증권,1,102970 KODEX 증권,20100104,20260921,포함,
krx철강,KRX 철강,1,117680 KODEX 철강,20100104,20260921,포함,
krx정보통신,KRX 정보통신,1,091200 KOSEF IT,20100104,20150217,포함,
krx100,KRX 100,2,091210 TIGER KRX100 | 100910 KOSEF KRX100,20100104,20260921,제외,시장 대표지수(§1 목록)
mkf웰스고배당20,MKF 웰스 고배당20,1,104530 KOSEF 고배당,20100104,20260921,포함,
mkf블루칩,MKF 블루칩,1,104520 KOSEF 블루칩,20100104,20260921,포함,
mkf중형순수가치,MKF 중형 순수가치,1,097740 KOSEF 중형순수가치,20100104,20100517,포함,
mkf5대그룹주,MKF 5대그룹주,1,105780 RISE 5대그룹주,20100104,20260921,포함,
mkf코스닥엘리트30,MKF 코스닥 엘리트30,1,108480 KStar 코스닥엘리트30,20100104,20151214,포함,
mkf범lg그룹주지수,MKF 범LG그룹주 지수,1,117740 아리랑 LG그룹&,20100104,20150506,포함,
krx방송통신,KRX 방송통신,1,098560 TIGER 방송통신,20100104,20251203,포함,
mkf순수가치,MKF 순수가치,1,097710 TIGER 순수가치,20100104,20151214,포함,
mkf중형가치,MKF 중형 가치,1,097720 TIGER 중형가치,20100104,20151214,포함,
mkf중소형가치,MKF 중소형 가치,1,097750 TREX 중소형가치,20100104,20200622,포함,
코스피50,코스피 50,2,122090 아리랑 KOSPI50 | 168300 KTOP50,20100107,20260921,제외,시장 대표지수(§1 목록)
코스닥프리미어,코스닥 프리미어,1,122390 TIGER 코스닥프리미어,20100208,20160428,제외,수동: 코스닥 대형주 광범위 지수 — 시장 대표지수와 같은 성격
mkf보험주top10지수,MKF 보험주 Top10 지수,1,124090 HiShares 보험,20100507,20111216,포함,
mkf네오밸류지수,MKF 네오밸류 지수,1,129270 아리랑 네오밸류,20100617,20150506,포함,
mkfsamsew지수,MKF SAMs EW 지수,1,131890 KINDEX 삼성그룹동일가중,20100917,20260921,포함,
핵심소비재지수,핵심소비재 지수,1,136280 KODEX 소비재,20101207,20170524,포함,
녹색산업지수,녹색산업지수,2,137990 TIGER 그린 | 138210 GREAT GREEN,20110127,20151214,포함,
mkfsamsfw,MKF SAMs FW,1,138520 TIGER 삼성그룹펀더멘털,20110307,20260921,포함,
mkflg그룹+fw,MKF LG그룹+ FW,1,138530 TIGER LG그룹플러스,20110310,20260921,포함,
mkf현대차그룹+fw,MKF 현대차그룹+ FW,1,138540 TIGER 현대차그룹플러스,20110310,20260921,포함,
코스피200건설,코스피 200 건설,2,139220 TIGER 건설기계 | 287300 KBSTAR 200건설,20110406,20260921,포함,
코스피200경기소비재,코스피 200 경기소비재,2,139290 TIGER 자동차&유통 | 287310 KBSTAR 200경기소비재,20110406,20260921,포함,
코스피200금융,코스피 200 금융,2,139270 TIGER 금융 | 284980 RISE 200금융,20110406,20260921,포함,
코스피200에너지/화학,코스피 200 에너지/화학,2,139250 TIGER 에너지화학 | 284990 KBSTAR 200에너지화학,20110406,20260921,포함,
코스피200정보기술,코스피 200 정보기술,2,139260 TIGER 정보통신 | 285000 KBSTAR 200IT,20110406,20260921,포함,
코스피200중공업,코스피 200 중공업,2,139230 TIGER 조선운송 | 285010 KBSTAR 200중공업,20110406,20260921,포함,
코스피200철강/소재,코스피 200 철강/소재,2,139240 TIGER 철강소재 | 285020 KBSTAR 200철강소재,20110406,20260921,포함,
코스피200생활소비재,코스피 200 생활소비재,3,139280 TIGER 필수소비재 | 227560 TIGER 200 생활소비재 | 287330 KBSTAR 200생활소비재,20110406,20260921,포함,
mkf블루칩30지수,MKF 블루칩30 지수,1,139300 TIGER 블루칩30,20110408,20130625,포함,
mkf수출주지수,MKF 수출주 지수,1,140570 RISE 수출주,20110415,20260921,포함,
mkf우량업종대표주지수,MKF 우량업종대표주 지수,1,140580 RISE 우량업종대표주,20110415,20260921,포함,
krx보험,KRX 보험,1,140700 KODEX 보험,20110426,20260921,포함,
krx운송,KRX 운송,1,140710 KODEX 운송,20110426,20260921,포함,
코스피100,코스피 100,4,140950 파워 코스피100 | 153270 iKon 100 | 159800 마이티 코스피100 | 237350 KODEX 코스피100,20110503,20260921,제외,시장 대표지수(§1 목록)
코스피100동일가중지수,코스피 100 동일가중지수,1,141240 아리랑 K100EW,20110518,20181109,제외,시장 대표지수(§1 목록)
krx100동일가중지수,KRX 100 동일가중지수,1,141250 아리랑 KRX100EW,20110518,20150506,제외,시장 대표지수(§1 목록)
fnguide-rafi코리아대형지수,FnGuide-RAFI 코리아 대형 지수,2,143460 KINDEX 펀더멘털대형 | 144670 KOSEF 펀더멘탈대형주,20110621,20241217,포함,
krx헬스케어,KRX 헬스케어,4,0214M0 MIDAS 바이오헬스케어액티브 | 143860 TIGER 헬스케어 | 266420 KODEX 헬스케어 | 463050 TIMEFOLIO K바이오액티브,20110718,20260921,포함,
fnguide태양광지수,FnGuide 태양광 지수,1,144750 KODEX 태양광,20110727,20130625,포함,
fnguide-rafi코리아200지수,FnGuide-RAFI 코리아200 지수,1,145850 TREX 펀더멘탈 200,20110923,20260921,포함,
fnguide모멘텀지수,FnGuide 모멘텀 지수,1,147970 TIGER 모멘텀,20111026,20260921,포함,
코스피200선물지수,코스피 200 선물지수,1,152280 KOSEF 200 선물,20120113,20210322,제외,시장 대표지수(§1 목록)
fnguide생활필수품지수,FnGuide 생활필수품 지수,1,152180 TIGER 생활필수품,20120117,20181217,포함,
mscikoreaindex,MSCI Korea Index,1,156080 KODEX MSCI Korea,20120430,20260921,제외,시장 대표지수(§1 목록)
fnguide소프트웨어지수,FnGuide 소프트웨어 지수,1,157490 TIGER 소프트웨어,20120516,20260921,포함,
fnguide자동차지수,FnGuide 자동차 지수,1,157510 TIGER 자동차,20120516,20181217,포함,
fnguide증권지수,FnGuide 증권 지수,1,157500 TIGER 증권,20120516,20260921,포함,
fnguide화학지수,FnGuide 화학 지수,1,157520 TIGER 화학,20120516,20181217,포함,
fnguide경기방어주지수,FnGuide 경기방어주 지수,1,161490 아리랑 방어주,20120829,20171201,포함,
fnguide배당주지수,FnGuide 배당주 지수,1,161510 아리랑 배당주,20120829,20260921,포함,
fnguide자동차+지수,FnGuide 자동차+ 지수,1,161520 아리랑 자동차,20120829,20150217,포함,
fnguide조선운송+지수,FnGuide 조선운송+ 지수,1,161530 아리랑 조선운송,20120829,20150217,포함,
fnguide경기주도주지수,FnGuide 경기주도주 지수,1,161500 아리랑 주도주,20120829,20171201,포함,
fnguide철강금속+지수,FnGuide 철강금속+ 지수,1,161540 아리랑 철강금속,20120829,20150217,포함,
fnguide화학+지수,FnGuide 화학+ 지수,1,161550 아리랑 화학,20120829,20150217,포함,
fnguide베타플러스지수,FnGuide 베타플러스 지수,1,170350 TIGER 베타플러스,20130117,20210506,포함,
fnguidelowvol지수,FnGuide Low Vol 지수,1,174350 TIGER 로우볼,20130620,20260921,포함,
코스피200고배당지수,코스피 200 고배당지수,2,0222D0 KoAct 고배당액티브 | 192720 파워고배당저변동성,20140220,20260921,포함,
코스피고배당50,코스피 고배당 50,2,210780 TIGER 코스피고배당 | 211210 마이티 코스피고배당,20141205,20260921,포함,
코스피배당성장50,코스피 배당성장 50,3,211260 KINDEX 배당성장 | 211560 TIGER 배당성장 | 211900 KODEX 코리아배당성장,20141217,20260921,포함,
