strategy,product,series,timeframe,params,entry,exit,atr,status,reason,years,bars,capital_krw,trade_count,trades_per_year,cagr_gross,cagr_net,sharpe_net,sharpe_gross,sortino_net,calmar_net,mdd_net,mdd_gross,win_rate,profit_factor,avg_win_krw,avg_loss_krw,expectancy_krw,expectancy_pct_cap,total_cost_krw,total_cost_pct_cap,turnover_per_yr,final_equity_net_krw,final_equity_gross_krw
F1,kosdaq150,kosdaq150_day,15m,dn_entry20_exit10_atr2,20.0,10.0,2.0,OK,,1.022,7121,21792000.0,279.0,272.99,-0.4884,-0.5265,-1.508,-1.403,-2.059,-0.836,-0.6301,-0.6034,0.2939,0.734,362878.0,-205898.0,-41731.0,-0.001915,837000.0,0.03841,418.86,10149051.0,10986051.0
F1,kosdaq150,kosdaq150_day,15m,dn_entry20_exit10_atr3,20.0,10.0,3.0,OK,,1.022,7121,21792000.0,257.0,251.46,-0.4938,-0.529,-1.542,-1.439,-2.176,-0.812,-0.6513,-0.6286,0.3346,0.745,371814.0,-250889.0,-45514.0,-0.002089,771000.0,0.03538,384.24,10095007.0,10866007.0
F1,kosdaq150,kosdaq150_day,15m,dn_entry20_exit20_atr2,20.0,20.0,2.0,OK,,1.022,7121,21792000.0,230.0,225.05,-0.5287,-0.5602,-1.258,-1.199,-1.73,-0.82,-0.6835,-0.6614,0.2391,0.711,523200.0,-231232.0,-53825.0,-0.00247,690000.0,0.03166,349.43,9412359.0,10102359.0
F1,kosdaq150,kosdaq150_day,15m,dn_entry20_exit20_atr3,20.0,20.0,3.0,OK,,1.022,7121,21792000.0,204.0,199.61,-0.5227,-0.5506,-1.294,-1.234,-1.803,-0.8,-0.6886,-0.6703,0.2892,0.73,528542.0,-294774.0,-59658.0,-0.002738,612000.0,0.02808,308.97,9621825.0,10233825.0
F1,kosdaq150,kosdaq150_day,15m,dn_entry55_exit10_atr2,55.0,10.0,2.0,OK,,1.022,7121,21792000.0,161.0,157.53,-0.1935,-0.2153,-0.737,-0.652,-1.397,-0.551,-0.3906,-0.3783,0.2671,0.813,433628.0,-194462.0,-29711.0,-0.001363,483000.0,0.02216,241.22,17008482.0,17491482.0
F1,kosdaq150,kosdaq150_day,15m,dn_entry55_exit10_atr3,55.0,10.0,3.0,OK,,1.022,7121,21792000.0,150.0,146.77,-0.1794,-0.1997,-0.652,-0.574,-1.21,-0.511,-0.3908,-0.3796,0.3133,0.831,416574.0,-228798.0,-29581.0,-0.001357,450000.0,0.02065,224.01,17354828.0,17804828.0
F1,kosdaq150,kosdaq150_day,15m,dn_entry55_exit20_atr2,55.0,20.0,2.0,OK,,1.022,7121,21792000.0,132.0,129.16,-0.1088,-0.1267,-0.282,-0.224,-0.541,-0.354,-0.3576,-0.3508,0.2348,0.894,656581.0,-225497.0,-21342.0,-0.000979,396000.0,0.01817,201.22,18974817.0,19370817.0
F1,kosdaq150,kosdaq150_day,15m,dn_entry55_exit20_atr3,55.0,20.0,3.0,OK,,1.022,7121,21792000.0,118.0,115.46,-0.1408,-0.1567,-0.387,-0.334,-0.718,-0.426,-0.3682,-0.3632,0.2966,0.871,601371.0,-291301.0,-29525.0,-0.001355,354000.0,0.01624,178.99,18308024.0,18662024.0
F1,kosdaq150,kosdaq150_day,1h,dn_entry20_exit10_atr2,20.0,10.0,2.0,OK,,1.022,1965,21498000.0,72.0,70.45,-0.3603,-0.3702,-0.825,-0.802,-1.021,-0.732,-0.5054,-0.4992,0.25,0.631,747389.0,-395055.0,-112444.0,-0.00523,216000.0,0.01005,109.83,13402027.0,13618027.0
F1,kosdaq150,kosdaq150_day,1h,dn_entry20_exit10_atr3,20.0,10.0,3.0,OK,,1.022,1965,21498000.0,67.0,65.56,-0.3929,-0.4021,-0.748,-0.732,-0.916,-0.676,-0.5949,-0.5886,0.2687,0.621,780944.0,-462153.0,-131186.0,-0.006102,201000.0,0.00935,102.73,12708518.0,12909518.0
F1,kosdaq150,kosdaq150_day,1h,dn_entry20_exit20_atr2,20.0,20.0,2.0,OK,,1.022,1965,21498000.0,65.0,63.6,-0.4707,-0.4797,-0.954,-0.937,-1.113,-0.817,-0.5873,-0.5815,0.2308,0.549,832467.0,-455282.0,-161109.0,-0.007494,195000.0,0.00907,98.85,11025924.0,11220924.0
F1,kosdaq150,kosdaq150_day,1h,dn_entry20_exit20_atr3,20.0,20.0,3.0,OK,,1.022,1965,21498000.0,57.0,55.77,-0.5133,-0.5212,-0.791,-0.783,-0.931,-0.745,-0.6996,-0.694,0.2807,0.54,822687.0,-594196.0,-199474.0,-0.009279,171000.0,0.00795,86.7,10127962.0,10298962.0
F1,kosdaq150,kosdaq150_day,1h,dn_entry55_exit10_atr2,55.0,10.0,2.0,OK,,1.022,1965,21498000.0,40.0,39.14,-0.2242,-0.2297,-0.633,-0.616,-0.652,-0.57,-0.4032,-0.3997,0.3,0.578,561000.0,-415862.0,-125803.0,-0.005852,120000.0,0.00558,60.81,16465871.0,16585871.0
F1,kosdaq150,kosdaq150_day,1h,dn_entry55_exit10_atr3,55.0,10.0,3.0,OK,,1.022,1965,21498000.0,36.0,35.22,-0.2164,-0.2214,-0.573,-0.558,-0.573,-0.544,-0.4068,-0.4037,0.3333,0.591,570833.0,-483027.0,-134740.0,-0.006268,108000.0,0.00502,55.13,16647347.0,16755347.0
F1,kosdaq150,kosdaq150_day,1h,dn_entry55_exit20_atr2,55.0,20.0,2.0,OK,,1.022,1965,21498000.0,37.0,36.2,-0.4107,-0.4158,-1.154,-1.14,-1.093,-0.752,-0.5529,-0.5494,0.1892,0.398,847143.0,-496872.0,-245599.0,-0.011424,111000.0,0.00516,55.9,12410849.0,12521849.0
F1,kosdaq150,kosdaq150_day,1h,dn_entry55_exit20_atr3,55.0,20.0,3.0,OK,,1.022,1965,21498000.0,33.0,32.29,-0.4715,-0.4761,-1.235,-1.224,-1.191,-0.79,-0.6028,-0.5996,0.2121,0.37,864000.0,-628598.0,-314987.0,-0.014652,99000.0,0.00461,50.27,11103441.0,11202441.0
F1,kosdaq150,kosdaq150_day,5m,dn_entry20_exit10_atr2,20.0,10.0,2.0,OK,,1.022,20375,21792000.0,723.0,707.42,-0.2118,-0.3099,-0.838,-0.541,-1.594,-0.821,-0.3775,-0.3396,0.2545,0.913,266924.0,-99851.0,-9508.0,-0.000436,2169000.0,0.09953,1072.9,14917356.0,17086356.0
F1,kosdaq150,kosdaq150_day,5m,dn_entry20_exit10_atr3,20.0,10.0,3.0,OK,,1.022,20375,21792000.0,667.0,652.63,-0.2346,-0.3251,-0.749,-0.51,-1.337,-0.786,-0.4137,-0.3776,0.2969,0.91,266429.0,-123588.0,-10811.0,-0.000496,2001000.0,0.09182,991.59,14581273.0,16582273.0
F1,kosdaq150,kosdaq150_day,5m,dn_entry20_exit20_atr2,20.0,20.0,2.0,OK,,1.022,20375,21792000.0,619.0,605.67,-0.254,-0.3381,-0.65,-0.463,-1.286,-0.687,-0.4924,-0.4567,0.2229,0.896,350710.0,-112346.0,-12112.0,-0.000556,1857000.0,0.08521,920.44,14294736.0,16151736.0
F1,kosdaq150,kosdaq150_day,5m,dn_entry20_exit20_atr3,20.0,20.0,3.0,OK,,1.022,20375,21792000.0,544.0,532.28,-0.2234,-0.2971,-0.44,-0.295,-0.812,-0.544,-0.5465,-0.5142,0.2757,0.913,345233.0,-144026.0,-12120.0,-0.000556,1632000.0,0.07489,811.29,15198653.0,16830653.0
F1,kosdaq150,kosdaq150_day,5m,dn_entry55_exit10_atr2,55.0,10.0,2.0,OK,,1.022,20375,21792000.0,458.0,448.13,-0.3052,-0.3675,-1.237,-1.025,-2.109,-0.883,-0.4161,-0.3736,0.2511,0.83,288122.0,-116346.0,-17788.0,-0.000816,1374000.0,0.06305,684.65,13645310.0,15019310.0
F1,kosdaq150,kosdaq150_day,5m,dn_entry55_exit10_atr3,55.0,10.0,3.0,OK,,1.022,20375,21792000.0,423.0,413.89,-0.4244,-0.4822,-1.632,-1.446,-2.657,-0.895,-0.539,-0.4968,0.3002,0.787,273898.0,-149277.0,-25224.0,-0.001158,1269000.0,0.05823,632.95,11122071.0,12391071.0
F1,kosdaq150,kosdaq150_day,5m,dn_entry55_exit20_atr2,55.0,20.0,2.0,OK,,1.022,20375,21792000.0,407.0,398.23,-0.3994,-0.4549,-1.327,-1.168,-2.351,-0.838,-0.5426,-0.504,0.2359,0.779,324167.0,-128518.0,-24742.0,-0.001135,1221000.0,0.05603,611.23,11721907.0,12942907.0
F1,kosdaq150,kosdaq150_day,5m,dn_entry55_exit20_atr3,55.0,20.0,3.0,OK,,1.022,20375,21792000.0,362.0,354.2,-0.5479,-0.5976,-1.683,-1.562,-2.896,-0.896,-0.667,-0.6306,0.2762,0.727,322650.0,-169370.0,-36453.0,-0.001673,1086000.0,0.04983,544.97,8596020.0,9682020.0
F1,kosdaq150,kosdaq150_day,day,dn_entry20_exit10_atr2,20.0,10.0,2.0,OK,,1.0212,245,21271000.0,10.0,9.79,-0.3015,-0.3029,-0.67,-0.667,-0.588,-0.574,-0.5272,-0.5263,0.3,0.377,1316333.0,-1496390.0,-655573.0,-0.03082,30000.0,0.00141,16.09,14715267.0,14745267.0
F1,kosdaq150,kosdaq150_day,day,dn_entry20_exit10_atr3,20.0,10.0,3.0,OK,,1.0212,245,21271000.0,7.0,6.85,0.1092,0.1082,0.468,0.471,0.555,0.382,-0.2836,-0.2831,0.4286,1.536,2268667.0,-1107790.0,336263.0,0.015809,21000.0,0.00099,11.03,23624840.0,23645840.0
F1,kosdaq150,kosdaq150_day,day,dn_entry20_exit20_atr2,20.0,20.0,2.0,OK,,1.0212,245,21271000.0,10.0,9.79,-0.3187,-0.3201,-0.642,-0.639,-0.616,-0.579,-0.5525,-0.5515,0.3,0.378,1396333.0,-1583721.0,-692705.0,-0.032566,30000.0,0.00141,16.11,14343953.0,14373953.0
F1,kosdaq150,kosdaq150_day,day,dn_entry20_exit20_atr3,20.0,20.0,3.0,OK,,1.0212,245,21271000.0,7.0,6.85,0.0283,0.0274,0.292,0.294,0.386,0.075,-0.3664,-0.3658,0.4286,1.096,2348667.0,-1607573.0,84959.0,0.003994,21000.0,0.00099,11.0,21865710.0,21886710.0
F1,kosdaq150,kosdaq150_day,day,dn_entry55_exit10_atr2,55.0,10.0,2.0,OK,,1.0212,245,21271000.0,3.0,2.94,0.062,0.0616,0.362,0.363,0.242,0.247,-0.2497,-0.2495,0.6667,1.532,1942000.0,-2536000.0,446333.0,0.020983,9000.0,0.00042,4.6,22610000.0,22619000.0
F1,kosdaq150,kosdaq150_day,day,dn_entry55_exit10_atr3,55.0,10.0,3.0,OK,,1.0212,245,21271000.0,2.0,1.96,0.2014,0.2011,0.794,0.795,0.604,1.048,-0.192,-0.1919,1.0,inf,2192000.0,,2189000.0,0.10291,6000.0,0.00028,3.0,25649000.0,25655000.0
F1,kosdaq150,kosdaq150_day,day,dn_entry55_exit20_atr2,55.0,20.0,2.0,OK,,1.0212,245,21271000.0,3.0,2.94,0.073,0.0726,0.395,0.396,0.293,0.291,-0.2497,-0.2495,0.6667,1.626,2062000.0,-2536000.0,526333.0,0.024744,9000.0,0.00042,4.59,22850000.0,22859000.0
F1,kosdaq150,kosdaq150_day,day,dn_entry55_exit20_atr3,55.0,20.0,3.0,OK,,1.0212,245,21271000.0,2.0,1.96,0.2124,0.2121,0.811,0.812,0.672,1.105,-0.192,-0.1919,1.0,inf,2312000.0,,2309000.0,0.108552,6000.0,0.00028,2.99,25889000.0,25895000.0
F1,kospi200,kospi200_24h,15m,dn_entry20_exit10_atr2,20.0,10.0,2.0,OK,,1.0236,18899,383300000.0,715.0,698.49,-0.472,-0.5202,-1.737,-1.583,-2.093,-0.907,-0.5734,-0.5391,0.2979,0.802,3504930.0,-1853602.0,-283284.0,-0.000739,18590000.0,0.0485,776.43,180751933.0,199341933.0
F1,kospi200,kospi200_24h,15m,dn_entry20_exit10_atr3,20.0,10.0,3.0,OK,,1.0236,18899,383300000.0,653.0,637.92,-0.5749,-0.6191,-1.842,-1.72,-2.052,-0.924,-0.6704,-0.6377,0.343,0.78,3547600.0,-2373641.0,-368465.0,-0.000961,16978000.0,0.04429,710.06,142692606.0,159670606.0
F1,kospi200,kospi200_24h,15m,dn_entry20_exit20_atr2,20.0,20.0,2.0,OK,,1.0236,18899,383300000.0,609.0,594.93,-0.6238,-0.6652,-2.024,-1.906,-2.37,-0.925,-0.7191,-0.6884,0.2529,0.743,4539692.0,-2069255.0,-424027.0,-0.001106,15834000.0,0.04131,661.02,125067274.0,140901274.0
F1,kospi200,kospi200_24h,15m,dn_entry20_exit20_atr3,20.0,20.0,3.0,OK,,1.0236,18899,383300000.0,540.0,527.53,-0.8848,-0.9226,-2.637,-2.524,-2.577,-0.982,-0.94,-0.9098,0.3019,0.684,4527684.0,-2863029.0,-658129.0,-0.001717,14040000.0,0.03663,587.83,27910443.0,41950443.0
F1,kospi200,kospi200_24h,15m,dn_entry55_exit10_atr2,55.0,10.0,2.0,OK,,1.0236,18899,383300000.0,407.0,397.6,-0.2301,-0.2573,-1.123,-1.003,-1.332,-0.714,-0.3604,-0.3468,0.3219,0.836,3495515.0,-1985299.0,-247204.0,-0.000645,10582000.0,0.02761,443.9,282688027.0,293270027.0
F1,kospi200,kospi200_24h,15m,dn_entry55_exit10_atr3,55.0,10.0,3.0,OK,,1.0236,18899,383300000.0,372.0,363.41,-0.3294,-0.3543,-1.488,-1.386,-1.642,-0.791,-0.4479,-0.4343,0.371,0.791,3527627.0,-2630373.0,-371953.0,-0.00097,9672000.0,0.02523,407.51,244933324.0,254605324.0
F1,kospi200,kospi200_24h,15m,dn_entry55_exit20_atr2,55.0,20.0,2.0,OK,,1.0236,18899,383300000.0,351.0,342.89,-0.2566,-0.28,-1.071,-0.98,-1.318,-0.74,-0.3786,-0.3643,0.2821,0.814,4439141.0,-2142162.0,-311897.0,-0.000814,9126000.0,0.02381,380.06,273824073.0,282950073.0
F1,kospi200,kospi200_24h,15m,dn_entry55_exit20_atr3,55.0,20.0,3.0,OK,,1.0236,18899,383300000.0,315.0,307.72,-0.4166,-0.4377,-1.581,-1.508,-1.795,-0.845,-0.5178,-0.5036,0.3333,0.742,4455714.0,-3001653.0,-541864.0,-0.001414,8190000.0,0.02137,344.56,212612841.0,220802841.0
