strategy,params,period,years,bars,capital_krw,trade_count,trades_per_year,cagr_net,sharpe_net,sortino_net,calmar_net,mdd_net,win_rate,profit_factor,avg_win_krw,avg_loss_krw,total_cost_krw,total_cost_pct_cap,expectancy_krw,final_equity_net_krw
ema_trend,EMA20_100,ALL,16.6735,4040,372625000.0,24,1.44,0.0252,0.415,0.347,0.109,-0.2314,0.2917,5.767,33192857.0,-2369853.0,624000.0,0.00167,7976604.0,564063500.0
ema_trend,EMA50_200,ALL,16.6735,4040,372625000.0,19,1.14,0.0239,0.37,0.306,0.099,-0.2411,0.2105,4.336,58600000.0,-3604167.0,494000.0,0.00133,9465447.0,552468500.0
buyhold,long_1contract,ALL,16.6762,4041,372625000.0,1,0.06,0.0286,0.444,0.485,0.127,-0.2259,1.0,inf,223550000.0,,26000.0,7e-05,223524000.0,596149000.0
ema_trend,EMA20_100,2010-2017,7.9754,1942,84975000.0,15,1.88,0.0041,0.093,0.102,0.014,-0.2957,0.2,1.156,7979167.0,-1725000.0,390000.0,0.00459,189833.0,87822500.0
ema_trend,EMA50_200,2010-2017,7.9754,1942,84975000.0,14,1.76,-0.029,-0.213,-0.218,-0.057,-0.5098,0.0714,0.522,19025000.0,-2801923.0,364000.0,0.00428,-1268857.0,67211000.0
buyhold,long_1contract,2010-2017,7.9781,1943,84975000.0,1,0.13,0.0337,0.362,0.478,0.17,-0.1987,1.0,inf,25787500.0,,26000.0,0.00031,25761500.0,110736500.0
ema_trend,EMA20_100,2018-2024,6.9897,1692,109925000.0,9,1.29,0.0231,0.299,0.275,0.159,-0.1454,0.3333,2.144,12041667.0,-2808333.0,234000.0,0.00213,2115667.0,128966000.0
ema_trend,EMA50_200,2018-2024,6.9897,1692,109925000.0,6,0.86,0.0111,0.164,0.144,0.054,-0.2055,0.3333,1.367,16668750.0,-6096875.0,156000.0,0.00142,1465667.0,118719000.0
buyhold,long_1contract,2018-2024,6.9925,1693,109925000.0,1,0.14,-0.0027,0.056,0.076,-0.009,-0.3133,0.0,0.0,,-2025000.0,26000.0,0.00024,-2051000.0,107874000.0
ema_trend,EMA20_100,2025-,1.681,404,372625000.0,2,1.19,0.2627,1.293,1.36,1.114,-0.2358,1.0,inf,89475000.0,,52000.0,0.00014,89449000.0,551523000.0
ema_trend,EMA50_200,2025-,1.681,404,372625000.0,1,0.59,0.2885,1.36,1.502,1.23,-0.2345,1.0,inf,198012500.0,,26000.0,7e-05,197986500.0,570611500.0
buyhold,long_1contract,2025-,1.6838,405,372625000.0,1,0.59,0.2905,1.372,1.513,1.242,-0.2339,1.0,inf,199900000.0,,26000.0,7e-05,199874000.0,572499000.0
