strategy,params,period,years,bars,capital_krw,trade_count,trades_per_year,cagr_net,sharpe_net,sortino_net,calmar_net,mdd_net,win_rate,profit_factor,avg_win_krw,avg_loss_krw,total_cost_krw,total_cost_pct_cap,final_equity_net_krw
A_ema,A: EMA50/200,ALL,16.6735,4040,372625000.0,19,1.14,0.0239,0.37,0.306,0.099,-0.2411,0.2105,4.336,58600000.0,-3604167.0,494000.0,0.00133,552468500.0
B_ema_oi,B: EMA50/200+OI,ALL,16.6735,4040,372625000.0,19,1.14,0.0236,0.363,0.299,0.097,-0.2423,0.2105,4.226,58031250.0,-3661667.0,494000.0,0.00133,549331000.0
buyhold,long_1contract,ALL,16.6762,4041,372625000.0,1,0.06,0.0286,0.444,0.485,0.127,-0.2259,1.0,inf,223550000.0,,26000.0,7e-05,596149000.0
A_ema,A: EMA50/200,2010-2017,7.9754,1942,84975000.0,14,1.76,-0.029,-0.213,-0.218,-0.057,-0.5098,0.0714,0.522,19025000.0,-2801923.0,364000.0,0.00428,67211000.0
B_ema_oi,B: EMA50/200+OI,2010-2017,7.9754,1942,84975000.0,14,1.76,-0.0303,-0.226,-0.229,-0.058,-0.5203,0.0714,0.521,19737500.0,-2913462.0,364000.0,0.00428,66473500.0
buyhold,long_1contract,2010-2017,7.9781,1943,84975000.0,1,0.13,0.0337,0.362,0.478,0.17,-0.1987,1.0,inf,25787500.0,,26000.0,0.00031,110736500.0
A_ema,A: EMA50/200,2018-2024,6.9897,1692,109925000.0,6,0.86,0.0111,0.164,0.144,0.054,-0.2055,0.3333,1.367,16668750.0,-6096875.0,156000.0,0.00142,118719000.0
B_ema_oi,B: EMA50/200+OI,2018-2024,6.9897,1692,109925000.0,5,0.72,0.0097,0.15,0.131,0.045,-0.2176,0.4,1.318,16187500.0,-8187500.0,130000.0,0.00118,117607500.0
buyhold,long_1contract,2018-2024,6.9925,1693,109925000.0,1,0.14,-0.0027,0.056,0.076,-0.009,-0.3133,0.0,0.0,,-2025000.0,26000.0,0.00024,107874000.0
A_ema,A: EMA50/200,2025-,1.681,404,372625000.0,1,0.59,0.2885,1.36,1.502,1.23,-0.2345,1.0,inf,198012500.0,,26000.0,7e-05,570611500.0
B_ema_oi,B: EMA50/200+OI,2025-,1.681,404,372625000.0,1,0.59,0.286,1.347,1.485,1.216,-0.2352,1.0,inf,196150000.0,,26000.0,7e-05,568749000.0
buyhold,long_1contract,2025-,1.6838,405,372625000.0,1,0.59,0.2905,1.372,1.513,1.242,-0.2339,1.0,inf,199900000.0,,26000.0,7e-05,572499000.0
