table,key,value,metric
stat,basis_mean,0.509321,
stat,basis_median,0.45,
stat,basis_std,1.634991,
stat,basis_pct_mean,0.001425,
stat,basis_pct_median,0.001515,
stat,basis_pct_std,0.003496,
stat,dbasis_mean,-0.004138,
stat,dbasis_std,1.26379,
yearly,2010,251.0,n
yearly,2010,0.3073,basis_mean
yearly,2010,0.8855,basis_std
yearly,2010,0.0013,basis_pct_mean
yearly,2011,248.0,n
yearly,2011,0.3754,basis_mean
yearly,2011,0.9969,basis_std
yearly,2011,0.0013,basis_pct_mean
yearly,2012,248.0,n
yearly,2012,0.9629,basis_mean
yearly,2012,0.8637,basis_std
yearly,2012,0.0037,basis_pct_mean
yearly,2013,247.0,n
yearly,2013,0.8119,basis_mean
yearly,2013,0.758,basis_std
yearly,2013,0.0031,basis_pct_mean
yearly,2014,245.0,n
yearly,2014,0.6175,basis_mean
yearly,2014,0.7605,basis_std
yearly,2014,0.0024,basis_pct_mean
yearly,2015,248.0,n
yearly,2015,0.3653,basis_mean
yearly,2015,0.8547,basis_std
yearly,2015,0.0014,basis_pct_mean
yearly,2016,246.0,n
yearly,2016,0.1987,basis_mean
yearly,2016,0.9115,basis_std
yearly,2016,0.0009,basis_pct_mean
yearly,2017,243.0,n
yearly,2017,0.3828,basis_mean
yearly,2017,0.6207,basis_std
yearly,2017,0.0013,basis_pct_mean
yearly,2018,244.0,n
yearly,2018,0.2598,basis_mean
yearly,2018,0.78,basis_std
yearly,2018,0.0008,basis_pct_mean
yearly,2019,246.0,n
yearly,2019,0.3434,basis_mean
yearly,2019,0.7405,basis_std
yearly,2019,0.0013,basis_pct_mean
yearly,2020,248.0,n
yearly,2020,-0.4439,basis_mean
yearly,2020,1.3269,basis_std
yearly,2020,-0.0015,basis_pct_mean
yearly,2021,248.0,n
yearly,2021,-0.4285,basis_mean
yearly,2021,1.1685,basis_std
yearly,2021,-0.001,basis_pct_mean
yearly,2022,246.0,n
yearly,2022,-0.0076,basis_mean
yearly,2022,0.8719,basis_std
yearly,2022,0.0,basis_pct_mean
yearly,2023,245.0,n
yearly,2023,1.0332,basis_mean
yearly,2023,0.8022,basis_std
yearly,2023,0.0031,basis_pct_mean
yearly,2024,244.0,n
yearly,2024,1.2124,basis_mean
yearly,2024,0.9771,basis_std
