strategy,threshold,hold_days,signal_pct,period,years,bars,capital_krw,exposure,trade_count,trades_per_year,cagr_net,sharpe_net,sortino_net,calmar_net,mdd_net,win_rate,profit_factor,avg_win_krw,avg_loss_krw,expectancy_krw,total_cost_krw,total_cost_pct_cap,final_equity_net_krw
basis,A,5,0.2,2010-2017,7.9781,1943,84975000.0,0.3037,118,14.79,-0.0006,0.039,0.028,-0.003,-0.2313,0.5593,1.038,1093371.0,-1336298.0,-3331.0,3068000.0,0.0361,84582000.0
basis,A,5,0.2,2018-2024,6.9925,1693,109925000.0,0.4631,157,22.45,0.0159,0.219,0.218,0.057,-0.2772,0.5159,1.133,1780864.0,-1675329.0,81803.0,4082000.0,0.03713,122768000.0
basis,A,5,0.2,2025-,1.6838,405,372625000.0,0.558,46,27.32,0.334,2.303,2.67,5.608,-0.0596,0.7174,9.683,7903788.0,-2072115.0,5058511.0,1196000.0,0.00321,605316500.0
basis,A,5,0.2,ALL,16.6762,4041,372625000.0,0.3962,321,19.25,0.0307,0.676,0.643,0.305,-0.1006,0.5607,2.127,2651319.0,-1591312.0,761734.0,8346000.0,0.0224,617141500.0
basis,A,20,0.2,2010-2017,7.9781,1943,84975000.0,0.4894,48,6.02,0.0064,0.115,0.106,0.03,-0.2123,0.5,1.121,2182813.0,-1946875.0,91969.0,1248000.0,0.01469,89389500.0
basis,A,20,0.2,2018-2024,6.9925,1693,109925000.0,0.6893,59,8.44,0.0062,0.114,0.138,0.019,-0.3208,0.5593,1.065,3191667.0,-3804808.0,82475.0,1534000.0,0.01395,114791000.0
basis,A,20,0.2,2025-,1.6838,405,372625000.0,0.8074,17,10.1,0.3368,1.797,1.912,2.976,-0.1132,0.8235,12.714,18241964.0,-6695833.0,13815176.0,442000.0,0.00119,607483000.0
basis,A,20,0.2,ALL,16.6762,4041,372625000.0,0.6055,123,7.38,0.0307,0.54,0.498,0.263,-0.1167,0.5772,2.534,5766373.0,-3107212.0,1988939.0,3198000.0,0.00858,617264500.0
basis,B,5,0.3,2010-2017,7.9781,1943,84975000.0,0.4581,178,22.31,0.0223,0.305,0.277,0.152,-0.1466,0.5674,1.231,1106559.0,-1179383.0,91697.0,4628000.0,0.05446,101297000.0
basis,B,5,0.3,2018-2024,6.9925,1693,109925000.0,0.5918,201,28.75,0.0018,0.075,0.083,0.005,-0.3478,0.5025,1.04,1730693.0,-1681500.0,7085.0,5226000.0,0.04754,111349000.0
basis,B,5,0.3,2025-,1.6838,405,372625000.0,0.6074,50,29.7,0.3397,2.307,2.64,3.881,-0.0875,0.72,6.65,7793403.0,-3013393.0,4741500.0,1300000.0,0.00349,609700000.0
basis,B,5,0.3,ALL,16.6762,4041,372625000.0,0.5298,429,25.73,0.0313,0.671,0.702,0.266,-0.1179,0.5548,1.857,2381828.0,-1598364.0,583761.0,11154000.0,0.02993,623058500.0
basis,B,20,0.3,2010-2017,7.9781,1943,84975000.0,0.6392,63,7.9,0.0224,0.264,0.269,0.098,-0.2281,0.5397,1.347,2063971.0,-1796983.0,260706.0,1638000.0,0.01928,101399500.0
basis,B,20,0.3,2018-2024,6.9925,1693,109925000.0,0.7779,66,9.44,0.0059,0.113,0.143,0.019,-0.3155,0.4848,1.058,3644922.0,-3243382.0,70402.0,1716000.0,0.01561,114571500.0
basis,B,20,0.3,2025-,1.6838,405,372625000.0,0.8568,18,10.69,0.3498,1.879,2.045,3.139,-0.1114,0.7778,12.937,18990179.0,-5137500.0,13602472.0,468000.0,0.00126,617469500.0
basis,B,20,0.3,ALL,16.6762,4041,372625000.0,0.7194,146,8.75,0.0357,0.667,0.704,0.345,-0.1034,0.5479,2.68,5974375.0,-2701705.0,2026312.0,3796000.0,0.01019,668466500.0
basis,C,5,0.4,2010-2017,7.9781,1943,84975000.0,0.5723,223,27.95,0.0121,0.171,0.173,0.054,-0.2235,0.5561,1.118,1096371.0,-1228030.0,38462.0,5798000.0,0.06823,93552000.0
basis,C,5,0.4,2018-2024,6.9925,1693,109925000.0,0.6716,228,32.61,0.0116,0.16,0.186,0.039,-0.2972,0.5439,1.079,1679335.0,-1856130.0,40667.0,5928000.0,0.05393,119197000.0
basis,C,5,0.4,2025-,1.6838,405,372625000.0,0.6444,53,31.48,0.3683,2.458,2.915,5.35,-0.0689,0.7358,7.29,7743269.0,-2958929.0,4890274.0,1378000.0,0.0037,631809500.0
basis,C,5,0.4,ALL,16.6762,4041,372625000.0,0.6226,504,30.22,0.0335,0.699,0.789,0.334,-0.1003,0.5694,1.794,2250915.0,-1659793.0,541138.0,13104000.0,0.03517,645358500.0
basis,C,20,0.4,2010-2017,7.9781,1943,84975000.0,0.7118,70,8.77,0.0144,0.184,0.2,0.058,-0.2463,0.5714,1.184,1948125.0,-2194583.0,146679.0,1820000.0,0.02142,95242500.0
basis,C,20,0.4,2018-2024,6.9925,1693,109925000.0,0.8252,70,10.01,0.0191,0.217,0.278,0.065,-0.2939,0.5,1.163,3538214.0,-3042500.0,221857.0,1820000.0,0.01656,125455000.0
basis,C,20,0.4,2025-,1.6838,405,372625000.0,0.9062,19,11.28,0.4482,2.522,3.0,4.501,-0.0996,0.8421,19.34,21289062.0,-5870833.0,16974658.0,494000.0,0.00133,695143500.0
basis,C,20,0.4,ALL,16.6762,4041,372625000.0,0.7788,158,9.47,0.0341,0.607,0.634,0.322,-0.1059,0.5696,2.504,5231944.0,-2765074.0,1764190.0,4108000.0,0.01102,651367000.0
buyhold,-,full,,2010-2017,7.9781,1943,84975000.0,1.0,1,0.13,0.0337,0.362,0.478,0.17,-0.1987,1.0,inf,25787500.0,,25761500.0,26000.0,0.00031,110736500.0
buyhold,-,full,,2018-2024,6.9925,1693,109925000.0,1.0,1,0.14,-0.0027,0.056,0.076,-0.009,-0.3133,0.0,0.0,,-2025000.0,-2051000.0,26000.0,0.00024,107874000.0
buyhold,-,full,,2025-,1.6838,405,372625000.0,1.0,1,0.59,0.2905,1.372,1.513,1.242,-0.2339,1.0,inf,199900000.0,,199874000.0,26000.0,7e-05,572499000.0
buyhold,-,full,,ALL,16.6762,4041,372625000.0,1.0,1,0.06,0.0286,0.444,0.485,0.127,-0.2259,1.0,inf,223550000.0,,223524000.0,26000.0,7e-05,596149000.0
