table,state,period,horizon,n_q1,n_q5,mean_q1,mean_q5,med_q1,med_q5,win_q1,win_q5,mae_q1,mae_q5,spread,tstat,pval,ci_lo,ci_hi,v_n,v_mean,v_median,v_std,v_min,v_max,v_p20,v_p80
state_stats,rv5,ALL,0,,,,,,,,,,,,,,,,4038,0.17621102400061028,0.14297693849164728,0.1410818587137353,0.017929405726473478,1.583078731917114,0.09291385904286495,0.22077743005582337
state_stats,rv20,ALL,0,,,,,,,,,,,,,,,,4023,0.18551874519174008,0.1517609193988479,0.12761536938476178,0.04258272736601682,1.0529396276390104,0.11235602040414142,0.21371109613993786
state_stats,rv60,ALL,0,,,,,,,,,,,,,,,,3984,0.18734384052356373,0.1613141519630654,0.1119133852336857,0.07321178863864575,0.8477842475128742,0.12155751588874415,0.20154225936907863
state_stats,ratio_5_20,ALL,0,,,,,,,,,,,,,,,,4023,0.9556117997307055,0.9455638772003327,0.32000355920535944,0.08803700896080123,1.9185889827553961,0.6686416188579133,1.2402413914694443
state_stats,ratio_20_60,ALL,0,,,,,,,,,,,,,,,,3984,0.9856958612285388,0.9801594890088072,0.21408361907383364,0.4036016831648797,1.5986615694654955,0.8046204922092871,1.1626015733393165
state_stats,chg_rv20,ALL,0,,,,,,,,,,,,,,,,4089,0.0026856783264663673,1.0201141464882824e-05,0.07180353888146336,-0.4952240688039269,1.0987281947241967,-0.02637215213511903,0.028243100965630187
state_stats,chg5_rv20,ALL,0,,,,,,,,,,,,,,,,4085,0.015184199042861586,0.00027034750627619175,0.1765385162158278,-0.627434888228414,2.0554759601555914,-0.1009886450078211,0.11999406459379208
event,ratio_rv20_rv60_pct,2010-2017,1,291,304,0.00037665219872885775,0.0008858833659199525,0.00046518840130271855,0.0011830034736496353,0.5154639175257731,0.5657894736842105,-0.0033488372093022356,-0.004582040164308521,-0.0005092311671910947,-0.6170519977768021,0.5374516008072613,-0.0021430369852255132,0.0010855079893772168,,,,,,,,
event,ratio_rv20_rv60_pct,2010-2017,5,276,282,0.0027991739560980613,0.0026370228857825564,0.004109770983385275,0.003605054151624709,0.6231884057971014,0.5709219858156028,-0.007851937438484613,-0.011454938347144394,0.00016215107031550486,0.09709142728774495,0.9226922228763286,-0.0030321758971830325,0.00350750450741641,,,,,,,,
event,ratio_rv20_rv60_pct,2010-2017,20,200,170,6.601181969837943e-05,0.011423777955413056,0.003440913886575969,0.019234307585589416,0.555,0.6941176470588235,-0.021506380836910755,-0.018911408538137386,-0.011357766135714676,-3.643034463757661,0.000309954866013229,-0.017455005073097583,-0.005138788490009582,,,,,,,,
event,ratio_rv20_rv60_pct,2018-2024,1,325,334,0.0005297772408243986,-0.00041360909507805394,0.0009866798223976403,0.00020947583413910564,0.5476923076923077,0.5059880239520959,-0.004630454140694629,-0.006849149219869177,0.0009433863359024525,0.7988116985059223,0.42473304107187027,-0.001396819090555649,0.0032052931669912846,,,,,,,,
event,ratio_rv20_rv60_pct,2018-2024,5,309,315,0.001849112612640239,0.0008734025993864382,0.0,0.0010783124410298495,0.49838187702265374,0.5079365079365079,-0.01460269296415695,-0.016764705882352904,0.0009757100132538009,0.4138750058762101,0.6791157917238559,-0.003550065865861795,0.005483975719519852,,,,,,,,
event,ratio_rv20_rv60_pct,2018-2024,20,250,215,0.0021274811742015383,0.01636924667624043,-0.005541329928798355,0.007896399241945629,0.424,0.5767441860465117,-0.032219555320192717,-0.03430308293530182,-0.01424176550203889,-2.643503253328145,0.008491860755960565,-0.025363309363251003,-0.0034414689359852186,,,,,,,,
event,ratio_rv20_rv60_pct,2025-,1,67,130,0.009121785155548604,0.003553364525229564,0.004750251907297942,0.006492277351918041,0.7164179104477612,0.6153846153846154,-0.0015118036981043304,-0.006451910374315695,0.005568420630319039,1.3746823900744916,0.1710003127638982,-0.0018948050468789157,0.013413197372114292,,,,,,,,
event,ratio_rv20_rv60_pct,2025-,5,56,122,0.05006754746835096,0.007403358093752566,0.04690054111507391,0.01190023894862613,0.8214285714285714,0.5655737704918032,-0.007020095736239573,-0.020703117616992395,0.04266418937459839,4.724521716226479,6.442195460933891e-06,0.024886180319314416,0.05984758731126734,,,,,,,,
event,ratio_rv20_rv60_pct,2025-,20,28,91,0.1621477872265838,0.015396331578793181,0.11975631358518735,0.045698924731182755,1.0,0.6923076923076923,-0.008218436209399826,-0.04827586206896539,0.1467514556477906,5.392486224229843,2.086649821894788e-06,0.09503532158079915,0.1977602846912429,,,,,,,,
event,ratio_rv20_rv60_pct,ALL,1,683,768,0.0013073835995897271,0.0007722662679211443,0.0009302325581395099,0.0011412034449866937,0.5505124450951684,0.5481770833333334,-0.003969514131470286,-0.005557049339905751,0.0005351173316685828,0.6333400714548939,0.5266209205441075,-0.001099175350321961,0.0021400785007499525,,,,,,,,
event,ratio_rv20_rv60_pct,ALL,5,641,719,0.006470718357904138,0.0026731181641658163,0.003833253473885856,0.003550821127385584,0.5803432137285491,0.5424200278164116,-0.010557184750733195,-0.014468245020669013,0.0037976001937383218,2.145583615207785,0.032084397118512874,0.000410636385951119,0.007244181920779177,,,,,,,,
