type,metric,period,n_q1,n_q5,mean_q1,median_q1,mean_q5,median_q5,spread_q5q1,tstat,pval,ci_lo,ci_hi,label
future_ret,ret1,2010-2017,452,324,-6.7e-05,0.000202,0.000999,0.001686,0.001066,1.233,0.2183,-0.00059,0.002681,1일 미래수익률
future_ret,ret1,2018-2024,268,400,-0.001238,-0.0008,1.5e-05,0.00051,0.001252,1.209,0.227,-0.000777,0.003149,1일 미래수익률
future_ret,ret1,2025-,39,205,0.002588,0.003856,0.002976,0.00519,0.000388,0.115,0.9084,-0.006073,0.0069,1일 미래수익률
future_ret,ret1,ALL,759,929,-0.000344,0.0,0.001011,0.001585,0.001355,1.684,0.0925,-0.000328,0.002897,1일 미래수익률
future_ret,ret20,2010-2017,324,192,-0.003815,-0.001387,0.016429,0.020593,0.020244,4.825,0.0,0.01239,0.028451,20일 미래수익률
future_ret,ret20,2018-2024,200,286,-0.012984,-0.010745,0.020895,0.01644,0.033879,7.424,0.0,0.02496,0.042544,20일 미래수익률
future_ret,ret20,2025-,17,137,0.037353,0.006147,0.054681,0.056842,0.017329,0.835,0.4075,-0.023749,0.054741,20일 미래수익률
future_ret,ret20,ALL,541,615,-0.005911,-0.003794,0.027027,0.02246,0.032938,7.982,0.0,0.024786,0.041056,20일 미래수익률
future_ret,ret5,2010-2017,419,291,0.000162,0.00137,0.00334,0.004045,0.003178,1.626,0.1048,-0.000442,0.006833,5일 미래수익률
future_ret,ret5,2018-2024,252,382,-0.003484,-0.003666,0.003476,0.004552,0.006961,3.389,0.0007,0.002811,0.010967,5일 미래수익률
future_ret,ret5,2025-,35,193,0.01656,0.018886,0.011671,0.01893,-0.004889,-0.682,0.4964,-0.018716,0.008591,5일 미래수익률
future_ret,ret5,ALL,706,866,-0.000327,0.000185,0.005257,0.005879,0.005583,3.417,0.0007,0.002501,0.008952,5일 미래수익률
future_risk,dvol20,2010-2017,324,192,0.084824,0.076452,0.120588,0.088191,0.035763,5.977,0.0,0.024429,0.047701,20d down-side vol(음수수익률 std)
future_risk,dvol20,2018-2024,200,286,0.114596,0.093514,0.112586,0.102191,-0.00201,-0.262,0.7936,-0.018018,0.013221,20d down-side vol(음수수익률 std)
future_risk,dvol20,2025-,17,137,0.159209,0.182819,0.299222,0.292211,0.140013,7.846,0.0,0.107752,0.173381,20d down-side vol(음수수익률 std)
future_risk,dvol20,ALL,541,615,0.098168,0.083327,0.15666,0.111614,0.058492,9.723,0.0,0.046887,0.07017,20d down-side vol(음수수익률 std)
future_risk,es95,2010-2017,324,192,-0.016261,-0.014769,-0.023962,-0.017535,-0.0077,-6.515,0.0,-0.010014,-0.005484,Expected Shortfall(하위 5% 평균)
future_risk,es95,2018-2024,200,286,-0.023317,-0.018591,-0.0231,-0.018534,0.000217,0.138,0.8906,-0.002879,0.00344,Expected Shortfall(하위 5% 평균)
future_risk,es95,2025-,17,137,-0.03325,-0.038084,-0.057839,-0.048024,-0.024589,-6.54,0.0,-0.031928,-0.017659,Expected Shortfall(하위 5% 평균)
future_risk,es95,ALL,541,615,-0.019404,-0.016143,-0.031108,-0.022927,-0.011704,-9.779,0.0,-0.013945,-0.009383,Expected Shortfall(하위 5% 평균)
future_risk,mae20,2010-2017,324,192,-0.030611,-0.024785,-0.03265,-0.020188,-0.002039,-0.624,0.533,-0.008534,0.003972,MAE(진입종가 대비 20d 최저 low)
future_risk,mae20,2018-2024,200,286,-0.043459,-0.033474,-0.02995,-0.021326,0.013509,4.079,0.0001,0.007059,0.019972,MAE(진입종가 대비 20d 최저 low)
future_risk,mae20,2025-,17,137,-0.031588,-0.035188,-0.087642,-0.034552,-0.056054,-5.318,0.0,-0.07734,-0.036025,MAE(진입종가 대비 20d 최저 low)
future_risk,mae20,ALL,541,615,-0.035391,-0.029822,-0.043644,-0.021863,-0.008253,-2.728,0.0065,-0.014253,-0.002477,MAE(진입종가 대비 20d 최저 low)
future_risk,maxloss20,2010-2017,324,192,-0.016261,-0.014769,-0.023962,-0.017535,-0.0077,-6.515,0.0,-0.010014,-0.005484,20d 내 일최저 로그수익
future_risk,maxloss20,2018-2024,200,286,-0.023317,-0.018591,-0.0231,-0.018534,0.000217,0.138,0.8906,-0.002879,0.00344,20d 내 일최저 로그수익
future_risk,maxloss20,2025-,17,137,-0.03325,-0.038084,-0.057839,-0.048024,-0.024589,-6.54,0.0,-0.031928,-0.017659,20d 내 일최저 로그수익
future_risk,maxloss20,ALL,541,615,-0.019404,-0.016143,-0.031108,-0.022927,-0.011704,-9.779,0.0,-0.013945,-0.009383,20d 내 일최저 로그수익
future_risk,vaR95,2010-2017,324,192,-0.012369,-0.011619,-0.016074,-0.011534,-0.003706,-4.134,0.0,-0.005521,-0.001965,일수익률 95% VaR(5% 분위)
future_risk,vaR95,2018-2024,200,286,-0.015738,-0.0131,-0.016469,-0.013398,-0.000731,-0.922,0.3572,-0.002276,0.00088,일수익률 95% VaR(5% 분위)
future_risk,vaR95,2025-,17,137,-0.014946,-0.015866,-0.044466,-0.041045,-0.02952,-10.572,0.0,-0.034861,-0.024349,일수익률 95% VaR(5% 분위)
future_risk,vaR95,ALL,541,615,-0.013696,-0.012172,-0.022583,-0.014356,-0.008887,-9.968,0.0,-0.010523,-0.00712,일수익률 95% VaR(5% 분위)
future_risk,var20,2010-2017,324,192,0.017504,0.015158,0.041963,0.023334,0.024459,6.597,0.0,0.017523,0.031761,20d realized variance(연율화)
future_risk,var20,2018-2024,200,286,0.030705,0.018773,0.046993,0.034259,0.016288,3.366,0.0008,0.007069,0.026245,20d realized variance(연율화)
future_risk,var20,2025-,17,137,0.040014,0.0384,0.33209,0.212778,0.292076,10.406,0.0,0.237351,0.347868,20d realized variance(연율화)
future_risk,var20,ALL,541,615,0.023091,0.016799,0.108932,0.034902,0.08584,10.422,0.0,0.069114,0.102261,20d realized variance(연율화)
future_risk,vol20,2010-2017,324,192,0.125891,0.123117,0.178152,0.152756,0.052261,6.824,0.0,0.037958,0.0677,20d realized vol(연율화)
future_risk,vol20,2018-2024,200,286,0.159037,0.137013,0.197194,0.185093,0.038156,5.115,0.0,0.023069,0.052491,20d realized vol(연율화)
future_risk,vol20,2025-,17,137,0.198909,0.19596,0.503125,0.461278,0.304216,12.331,0.0,0.258203,0.351139,20d realized vol(연율화)
