d_cagr,d_vol_ann,d_mdd,d_cost,d_exposure,d_sharpe,d_sortino,strategy,period
-0.0054,-0.0137,0.0294,468000.0,-0.0847,-0.019,-0.015,sizing_A,2010-2017
-0.011,-0.0183,0.0201,936000.0,-0.1693,-0.067,-0.106,sizing_B,2010-2017
-0.0051,-0.0203,0.0474,520000.0,-0.127,0.002,0.015,sizing_C,2010-2017
0.0058,-0.0302,0.0321,468000.0,-0.1193,0.031,0.047,sizing_A,2018-2024
0.0115,-0.0431,0.0352,936000.0,-0.2386,0.083,0.104,sizing_B,2018-2024
0.0092,-0.0388,0.0506,520000.0,-0.1717,0.061,0.089,sizing_C,2018-2024
-0.0582,-0.0784,0.0974,117000.0,-0.2568,0.344,0.478,sizing_A,2025-
-0.1183,-0.1281,0.1662,234000.0,-0.5136,0.672,0.195,sizing_B,2025-
-0.084,-0.0818,0.0928,110500.0,-0.2994,0.213,0.293,sizing_C,2025-
-0.0046,-0.0229,0.0948,1053000.0,-0.1167,0.084,0.135,sizing_A,ALL
-0.0095,-0.0357,0.1281,2106000.0,-0.2334,0.118,0.166,sizing_B,ALL
-0.0063,-0.025,0.0913,1150500.0,-0.1633,0.068,0.106,sizing_C,ALL
