period,metric,n_q1,n_q5,mean_q1,mean_q5,median_q1,median_q5,spread_q5q1,t,pval,ci_lo,ci_hi
ALL,fwd5d,706,866,-0.00032654832211110127,0.005256857357271045,0.0001851680622153573,0.005879107757522095,0.0055834056793821465,3.417,0.0006521313939204457,0.002500949000936061,0.008951648602167461
2010-2017,fwd5d,419,291,0.00016211793110256412,0.0033399427855684716,0.0013703993735316722,0.004045135192676241,0.0031778248544659074,1.626,0.1047603330568091,-0.0004422866833790038,0.006833112145152666
2018-2024,fwd5d,252,382,-0.003484368317333929,0.0034763700276574452,-0.0036660544524451666,0.004552011994135574,0.006960738344991374,3.389,0.0007447398712812383,0.002811346820187584,0.010967446643052298
2025-,fwd5d,35,193,0.016559722497878238,0.011671200882026715,0.018885840894703687,0.018929537221286763,-0.004888521615851522,-0.682,0.49642308515619243,-0.01871573469582301,0.008590639100761892
ALL,fwd10d,641,783,-0.0012344115671089652,0.01292352741551931,-0.0007613247049866878,0.012882691724765083,0.014157938982628276,5.887,5.099186782748112e-09,0.009354371376243549,0.01884635228878433
2010-2017,fwd10d,381,255,-0.0007487121340956468,0.010121685360663444,0.0011709601873537423,0.014768359295974198,0.01087039749475909,4.269,2.402183221515113e-05,0.005969562778555464,0.015843269667413718
2018-2024,fwd10d,233,353,-0.0056869444221065895,0.008348142114015272,-0.00688959838682579,0.009708737864077666,0.014035086536121861,4.824,1.8136773371041266e-06,0.008238022563511813,0.01964322179893482
2025-,fwd10d,27,175,0.03033553921942334,0.02623541733220031,0.012811553692056776,0.030364911657640103,-0.004100121887223029,-0.373,0.7099999083531239,-0.02594440369356766,0.01738162004039055
ALL,fwd15d,585,699,-0.0025632426850210324,0.019606849863910203,-0.001985559566787032,0.01694569211923236,0.022170092548931236,6.949,6.438646507869119e-12,0.015928070795493826,0.028322234425158542
2010-2017,fwd15d,349,222,-0.0026078753804502524,0.01570364554995197,0.0005718642775447424,0.016705033236775524,0.018311520930402225,5.565,4.909792340586517e-08,0.011855318324044867,0.024830687437158407
2018-2024,fwd15d,214,322,-0.0071640635296466885,0.013757354501981692,-0.0065093854785921446,0.012014863134066078,0.02092141803162838,5.428,8.707664972745245e-08,0.013025710869408933,0.02831549235520174
2025-,fwd15d,22,155,0.042898233290192066,0.037349100600940585,0.046744083121996294,0.03975550616286139,-0.0055491326892514806,-0.381,0.7044615632055179,-0.03387029676609119,0.02249322380862321
ALL,fwd20d,541,615,-0.005910801421091014,0.027027405578544585,-0.003793626707132014,0.02246033381413559,0.0329382069996356,7.982,4.504443421314437e-15,0.024786450416548582,0.04105573737435131
2010-2017,fwd20d,324,192,-0.003814617078719787,0.01642947387952196,-0.0013867470269492976,0.020593445876833316,0.020244090958241746,4.825,2.1930532822300774e-06,0.012390290352179041,0.028450781773832663
2018-2024,fwd20d,200,286,-0.01298401487104152,0.020895364584767363,-0.010745467967858746,0.016440384878783743,0.033879379455808885,7.424,5.226070983792923e-13,0.024960159631000758,0.04254437034926276
2025-,fwd20d,17,137,0.03735266699431044,0.054681176457614895,0.006147065646021854,0.05684159495818686,0.017328509463304456,0.835,0.4074679666789521,-0.023749013934029638,0.054741485596528076
ALL,fwd5d_rv_ann,706,866,0.12574015018635043,0.26305578110296746,0.11878214177034344,0.18429846943417663,0.13731563091661703,16.777,7.699668626526428e-56,0.12157723959471854,0.15328900976698479
2010-2017,fwd5d_rv_ann,419,291,0.11192833260888758,0.18090039420924078,0.10920880664861918,0.13672184814597846,0.0689720616003532,8.857,3.790538114002508e-17,0.05448531515895917,0.084863408623063
2018-2024,fwd5d_rv_ann,252,382,0.13759952969067496,0.20600881067550003,0.1314770582091284,0.17789605841826445,0.06840928098482507,8.275,1.082228928525216e-15,0.05293961251626286,0.085384250657735
2025-,fwd5d_rv_ann,35,193,0.20569980532541132,0.4998389950375114,0.19281182177647732,0.42806851175555316,0.29413918971210007,11.123,5.911581748774223e-23,0.24385715540477718,0.34950725678850947
