strategy,period,years,bars,capital_krw,cagr_net,sharpe_net,sortino_net,calmar_net,mdd_net,win_rate,profit_factor,resize_count,n_segments,trades_per_year,total_cost_krw,total_cost_pct_cap,avg_exposure,time_in_market,final_equity_krw,status
buyhold,2010-2017,7.9781,1943,84975000.0,0.0338,0.362,0.479,0.17,-0.1987,1.0,inf,0,1,0.0,26000.0,0.000306,1.0,1.0,110736500.0,OK
sizing_A,2010-2017,7.9781,1943,84975000.0,0.0284,0.343,0.464,0.168,-0.1694,0.4189,1.916,73,74,9.15,494000.0,0.005813,0.9153,1.0,106212250.0,OK
sizing_B,2010-2017,7.9781,1943,84975000.0,0.0228,0.295,0.373,0.128,-0.1786,0.2297,1.886,73,74,9.15,962000.0,0.011321,0.8307,0.8307,101688000.0,OK
sizing_C,2010-2017,7.9781,1943,84975000.0,0.0287,0.364,0.494,0.19,-0.1513,0.3812,1.588,159,160,19.93,546000.0,0.006425,0.873,1.0,106475875.0,OK
buyhold,2018-2024,6.9925,1693,109925000.0,-0.0027,0.056,0.076,-0.009,-0.3133,0.0,0.0,0,1,0.0,26000.0,0.000237,1.0,1.0,107874000.0,OK
sizing_A,2018-2024,6.9925,1693,109925000.0,0.0032,0.087,0.123,0.011,-0.2812,0.4054,1.047,73,74,10.44,494000.0,0.004494,0.8807,1.0,112362250.0,OK
sizing_B,2018-2024,6.9925,1693,109925000.0,0.0088,0.139,0.18,0.032,-0.2781,0.1622,1.113,73,74,10.44,962000.0,0.008751,0.7614,0.7614,116850500.0,OK
sizing_C,2018-2024,6.9925,1693,109925000.0,0.0065,0.117,0.165,0.025,-0.2627,0.4065,1.014,154,155,22.02,546000.0,0.004967,0.8283,1.0,115038375.0,OK
buyhold,2025-,1.6838,405,372625000.0,0.2905,1.372,1.513,1.242,-0.2339,1.0,inf,0,1,0.0,26000.0,7e-05,1.0,1.0,572499000.0,OK
sizing_A,2025-,1.6838,405,372625000.0,0.2325,1.716,1.991,1.703,-0.1365,0.5263,4.739,18,19,10.69,143000.0,0.000384,0.7432,1.0,529800750.0,OK
sizing_B,2025-,1.6838,405,372625000.0,0.1725,2.044,1.708,2.548,-0.0677,0.3158,5.926,18,19,10.69,260000.0,0.000698,0.4864,0.4864,487102500.0,OK
sizing_C,2025-,1.6838,405,372625000.0,0.2067,1.585,1.806,1.465,-0.1411,0.4839,4.498,30,31,17.82,136500.0,0.000366,0.7006,1.0,511251000.0,OK
buyhold,ALL,16.6762,4041,372625000.0,0.0286,0.444,0.485,0.127,-0.2259,1.0,inf,0,1,0.0,26000.0,7e-05,1.0,1.0,596149000.0,OK
sizing_A,ALL,16.6762,4041,372625000.0,0.024,0.528,0.62,0.183,-0.1311,0.4233,2.157,162,163,9.71,1079000.0,0.002896,0.8833,1.0,553496000.0,OK
sizing_B,ALL,16.6762,4041,372625000.0,0.0191,0.562,0.651,0.195,-0.0978,0.2147,2.237,162,163,9.71,2132000.0,0.005722,0.7666,0.7666,510843000.0,OK
sizing_C,ALL,16.6762,4041,372625000.0,0.0223,0.512,0.591,0.165,-0.1346,0.4006,1.775,341,342,20.45,1176500.0,0.003157,0.8367,1.0,537886000.0,OK
