source,period,window,years,bars,capital_krw,cagr_net,vol_ann,sharpe_net,sortino_net,calmar_net,mdd_net,total_cost_krw,avg_exposure,exp_turnover,exp_turnover_ann,resize_count,status
5-3_A,2010-2017,none,7.9781,1943,,0.0284,,0.343,0.464,0.168,-0.1694,494000.0,0.9153,,,73,ref
5-3_B,2010-2017,none,7.9781,1943,,0.0228,,0.295,0.373,0.128,-0.1786,962000.0,0.8307,,,73,ref
5-3_C,2010-2017,none,7.9781,1943,,0.0287,,0.364,0.494,0.19,-0.1513,546000.0,0.873,,,159,ref
5-4_A,2010-2017,none,7.9781,1943,84975000.0,0.027,0.0441,0.367,0.496,0.18,-0.1496,481722.0,0.7967,35.4901,4.4484,1466,OK
5-4_B,2010-2017,none,7.9781,1943,84975000.0,0.0235,0.0386,0.36,0.475,0.167,-0.1402,709583.0,0.695,53.2351,6.6727,1466,OK
5-4_C,2010-2017,none,7.9781,1943,84975000.0,0.0199,0.0348,0.337,0.418,0.134,-0.1485,937444.0,0.5933,70.9802,8.8969,1466,OK
B&H,2010-2017,none,7.9781,1943,,0.0338,,0.362,0.479,0.17,-0.1987,26000.0,1.0,,,0,ref
5-3_A,2018-2024,none,6.9925,1693,,0.0032,,0.087,0.123,0.011,-0.2812,494000.0,0.8807,,,73,ref
5-3_B,2018-2024,none,6.9925,1693,,0.0088,,0.139,0.18,0.032,-0.2781,962000.0,0.7614,,,73,ref
5-3_C,2018-2024,none,6.9925,1693,,0.0065,,0.117,0.165,0.025,-0.2627,546000.0,0.8283,,,154,ref
5-4_A,2018-2024,none,6.9925,1693,109925000.0,-0.0017,0.0508,0.033,0.046,-0.007,-0.2341,460107.0,0.7317,33.8294,4.8379,1499,OK
5-4_B,2018-2024,none,6.9925,1693,109925000.0,-0.0013,0.0411,0.024,0.033,-0.006,-0.2106,677161.0,0.5975,50.744,7.2569,1499,OK
5-4_C,2018-2024,none,6.9925,1693,109925000.0,-0.0008,0.0335,0.02,0.026,-0.004,-0.19,894214.0,0.4634,67.6587,9.6759,1499,OK
B&H,2018-2024,none,6.9925,1693,,-0.0027,,0.056,0.076,-0.009,-0.3133,26000.0,1.0,,,0,ref
5-3_A,2025-,none,1.6838,405,,0.2325,,1.716,1.991,1.703,-0.1365,143000.0,0.7432,,,18,ref
5-3_B,2025-,none,1.6838,405,,0.1725,,2.044,1.708,2.548,-0.0677,260000.0,0.4864,,,18,ref
5-3_C,2025-,none,1.6838,405,,0.2067,,1.585,1.806,1.465,-0.1411,136500.0,0.7006,,,30,ref
5-4_A,2025-,none,1.6838,405,372625000.0,0.1924,0.0748,1.469,1.62,1.25,-0.1539,125512.0,0.6482,7.9365,4.7135,333,OK
5-4_B,2025-,none,1.6838,405,372625000.0,0.1412,0.0468,1.674,1.877,1.409,-0.1002,175268.0,0.4723,11.9048,7.0702,333,OK
5-4_C,2025-,none,1.6838,405,372625000.0,0.0883,0.021,2.248,2.54,2.137,-0.0413,225024.0,0.2964,15.873,9.4269,333,OK
B&H,2025-,none,1.6838,405,,0.2905,,1.372,1.513,1.242,-0.2339,26000.0,1.0,,,0,ref
5-3_A,ALL,none,16.6762,4041,,0.024,,0.528,0.62,0.183,-0.1311,1079000.0,0.8833,,,162,ref
5-3_B,ALL,none,16.6762,4041,,0.0191,,0.562,0.651,0.195,-0.0978,2132000.0,0.7666,,,162,ref
5-3_C,ALL,none,16.6762,4041,,0.0223,,0.512,0.591,0.165,-0.1346,1176500.0,0.8367,,,341,ref
5-4_A,ALL,none,16.6762,4041,372625000.0,0.0202,0.0261,0.47,0.526,0.135,-0.1489,1015909.0,0.7543,76.4286,4.5831,3300,OK
5-4_B,ALL,none,16.6762,4041,372625000.0,0.0155,0.0177,0.508,0.591,0.16,-0.097,1510863.0,0.6315,114.6429,6.8746,3300,OK
5-4_C,ALL,none,16.6762,4041,372625000.0,0.0105,0.0108,0.533,0.654,0.172,-0.0611,2005817.0,0.5087,152.8571,9.1662,3300,OK
B&H,ALL,none,16.6762,4041,,0.0286,,0.444,0.485,0.127,-0.2259,26000.0,1.0,,,0,ref
