years,bars,capital_krw,cagr_net,sharpe_net,sortino_net,calmar_net,mdd_net,win_rate,profit_factor,resize_count,n_segments,trades_per_year,total_cost_krw,total_cost_pct_cap,avg_exposure,time_in_market,final_equity_krw,vol_ann,exp_turnover,exp_turnover_ann,source,period,window,status
16.6762,4041,372625000.0,0.0286,0.444,0.485,0.127,-0.2259,1.0,inf,0,1,0.0,26000.0,7e-05,1.0,1.0,596149000.0,0.0424,0.0,0.0,B&H,ALL,none,OK
16.6762,4041,372625000.0,0.0202,0.47,0.526,0.135,-0.1489,0.0612,2.111,3300,3301,197.89,1015909.0,0.002726,0.7543,1.0,519854106.0,0.0261,76.4286,4.5831,5-4_A,ALL,none,OK
16.6762,4041,372625000.0,0.0155,0.508,0.591,0.16,-0.097,0.0612,1.9,3300,3301,197.89,1510863.0,0.004055,0.6315,1.0,481706659.0,0.0177,114.6429,6.8746,5-4_B,ALL,none,OK
16.6762,4041,372625000.0,0.0105,0.533,0.654,0.172,-0.0611,0.0563,1.503,3300,3301,197.89,2005817.0,0.005383,0.5087,0.9718,443559212.0,0.0108,152.8571,9.1662,5-4_C,ALL,none,OK
16.6762,3820,372625000.0,0.0286,0.448,0.508,0.127,-0.2259,1.0,inf,0,1,0.0,26000.0,7e-05,1.0,1.0,596149000.0,0.0444,0.0,0.0,B&H,ALL,covid_long,OK
16.6762,3820,372625000.0,0.0189,0.444,0.507,0.125,-0.1517,0.0623,2.261,3112,3113,186.61,985111.0,0.002644,0.7588,1.0,509204175.0,0.0273,74.0595,4.441,5-4_A,ALL,covid_long,OK
16.6762,3820,372625000.0,0.0135,0.446,0.522,0.135,-0.1001,0.0623,2.023,3112,3113,186.61,1464667.0,0.003931,0.6382,1.0,465731762.0,0.0184,111.0893,6.6615,5-4_B,ALL,covid_long,OK
16.6762,3820,372625000.0,0.0075,0.394,0.481,0.109,-0.0691,0.0575,1.583,3112,3113,186.61,1944222.0,0.005218,0.5176,0.9749,422259349.0,0.011,148.119,8.8821,5-4_C,ALL,covid_long,OK
16.6762,3992,372625000.0,0.0286,0.449,0.49,0.127,-0.2259,1.0,inf,0,1,0.0,26000.0,7e-05,1.0,1.0,596149000.0,0.0424,0.0,0.0,B&H,ALL,covid_short,OK
16.6762,3992,372625000.0,0.0201,0.474,0.53,0.135,-0.1489,0.0612,2.161,3266,3267,195.85,1015083.0,0.002724,0.7571,1.0,519612769.0,0.0262,76.3651,4.5793,5-4_A,ALL,covid_short,OK
16.6762,3992,372625000.0,0.0155,0.51,0.593,0.159,-0.097,0.0612,1.929,3266,3267,195.85,1509625.0,0.004051,0.6356,1.0,481344653.0,0.0177,114.5476,6.8689,5-4_B,ALL,covid_short,OK
16.6762,3992,372625000.0,0.0104,0.533,0.656,0.171,-0.0612,0.0563,1.503,3266,3267,195.85,2004167.0,0.005379,0.5142,0.9752,443076538.0,0.0108,152.7302,9.1586,5-4_C,ALL,covid_short,OK
7.9781,1943,84975000.0,0.0338,0.362,0.479,0.17,-0.1987,1.0,inf,0,1,0.0,26000.0,0.000306,1.0,1.0,110736500.0,0.0583,0.0,0.0,B&H,2010-2017,none,OK
7.9781,1943,84975000.0,0.027,0.367,0.496,0.18,-0.1496,0.0634,1.916,1466,1467,183.75,481722.0,0.005669,0.7967,1.0,105068129.0,0.0441,35.4901,4.4484,5-4_A,2010-2017,none,OK
