source,period,d_cagr,d_vol_ann,d_mdd,d_cost,d_exposure,d_sharpe,d_sortino,status
5-3_A,2010-2017,-0.0054,-0.0137,0.0294,468000.0,-0.0847,-0.019,-0.015,ref
5-3_B,2010-2017,-0.011,-0.0183,0.0201,936000.0,-0.1693,-0.067,-0.106,ref
5-3_C,2010-2017,-0.0051,-0.0203,0.0474,520000.0,-0.127,0.002,0.015,ref
5-4_A,2010-2017,-0.0068,-0.0142,0.0491,455722.0,-0.2033,0.005,0.017,new
5-4_B,2010-2017,-0.0103,-0.0197,0.0585,683583.0,-0.305,-0.002,-0.004,new
5-4_C,2010-2017,-0.0139,-0.0235,0.0502,911444.0,-0.4067,-0.025,-0.061,new
5-3_A,2018-2024,0.0058,-0.0302,0.0321,468000.0,-0.1193,0.031,0.047,ref
5-3_B,2018-2024,0.0115,-0.0431,0.0352,936000.0,-0.2386,0.083,0.104,ref
5-3_C,2018-2024,0.0092,-0.0388,0.0506,520000.0,-0.1717,0.061,0.089,ref
5-4_A,2018-2024,0.001,-0.0226,0.0792,434107.0,-0.2683,-0.023,-0.03,new
5-4_B,2018-2024,0.0014,-0.0323,0.1027,651161.0,-0.4025,-0.032,-0.043,new
5-4_C,2018-2024,0.0019,-0.0399,0.1233,868214.0,-0.5366,-0.036,-0.05,new
5-3_A,2025-,-0.0582,-0.0784,0.0974,117000.0,-0.2568,0.344,0.478,ref
5-3_B,2025-,-0.1183,-0.1281,0.1662,234000.0,-0.5136,0.672,0.195,ref
5-3_C,2025-,-0.084,-0.0818,0.0928,110500.0,-0.2994,0.213,0.293,ref
5-4_A,2025-,-0.0981,-0.0517,0.08,99512.0,-0.3518,0.097,0.107,new
5-4_B,2025-,-0.1493,-0.0797,0.1337,149268.0,-0.5277,0.302,0.364,new
5-4_C,2025-,-0.2022,-0.1055,0.1926,199024.0,-0.7036,0.876,1.027,new
5-3_A,ALL,-0.0046,-0.0229,0.0948,1053000.0,-0.1167,0.084,0.135,ref
5-3_B,ALL,-0.0095,-0.0357,0.1281,2106000.0,-0.2334,0.118,0.166,ref
5-3_C,ALL,-0.0063,-0.025,0.0913,1150500.0,-0.1633,0.068,0.106,ref
5-4_A,ALL,-0.0084,-0.0163,0.077,989909.0,-0.2457,0.026,0.041,new
5-4_B,ALL,-0.0131,-0.0247,0.1289,1484863.0,-0.3685,0.064,0.106,new
5-4_C,ALL,-0.0181,-0.0316,0.1648,1979817.0,-0.4913,0.089,0.169,new
