period,decile,n,mean_pct,exp_A,exp_B,exp_C,fwd_rv5d,fwd_ret5d,fwd_rv10d,fwd_ret10d,fwd_rv15d,fwd_ret15d,fwd_rv20d,fwd_ret20d,ewvol_A,ewvol_B,ewvol_C
ALL,0,261,0.0358,0.9821,0.9732,0.9642,0.1212,-0.00031,0.1286,-0.00126,0.1306,-0.00176,0.1306,-0.00299,0.11903,0.11795,0.11686
ALL,1,245,0.1358,0.9321,0.8981,0.8642,0.1304,-0.00583,0.14,-0.00734,0.1455,-0.0071,0.1494,-0.00858,0.12155,0.11711,0.11269
ALL,2,257,0.2449,0.8775,0.8163,0.7551,0.1365,0.00132,0.1439,0.00051,0.1501,0.00035,0.1541,0.00023,0.11978,0.11142,0.10307
ALL,3,248,0.3577,0.8211,0.7317,0.6423,0.1596,-0.00063,0.1655,0.00324,0.1664,0.00691,0.1643,0.01348,0.13105,0.11678,0.10251
ALL,4,249,0.4651,0.7674,0.6511,0.5349,0.1527,0.00395,0.1567,0.00223,0.1601,-0.00211,0.164,-0.0021,0.11718,0.09942,0.08168
ALL,5,252,0.5907,0.7047,0.557,0.4093,0.153,-0.00096,0.1633,-0.00163,0.166,0.00312,0.1681,0.00325,0.10782,0.08522,0.06262
ALL,6,255,0.6997,0.6501,0.4752,0.3003,0.1813,0.00316,0.1918,0.00738,0.1962,0.01344,0.1965,0.02154,0.11786,0.08615,0.05444
ALL,7,251,0.801,0.5995,0.3993,0.199,0.195,0.00693,0.1987,0.01231,0.2018,0.01891,0.2084,0.02183,0.1169,0.07786,0.03881
ALL,8,248,0.8859,0.557,0.3356,0.1141,0.2262,0.00878,0.217,0.0214,0.2206,0.02625,0.2287,0.03417,0.12599,0.07591,0.02581
ALL,9,245,0.9694,0.5153,0.2729,0.0306,0.3385,0.00634,0.3426,0.01106,0.3301,0.02065,0.3211,0.02405,0.17443,0.09238,0.01036
2010-2017,0,115,0.0259,0.987,0.9805,0.9741,0.1248,0.00355,0.1261,0.00069,0.1244,-0.00255,0.1244,-0.005,0.12318,0.12237,0.12157
2010-2017,1,115,0.096,0.952,0.928,0.904,0.1004,-0.0043,0.1128,-0.00258,0.1213,-0.00317,0.1245,-0.00272,0.09558,0.09317,0.09076
2010-2017,2,105,0.168,0.916,0.874,0.832,0.1174,-0.00324,0.121,-0.00488,0.1251,-0.00508,0.1287,-0.00253,0.10754,0.10261,0.09768
2010-2017,3,114,0.2736,0.8632,0.7948,0.7264,0.1184,0.00195,0.1245,-0.00229,0.1266,0.0028,0.1256,0.00259,0.1022,0.0941,0.08601
2010-2017,4,109,0.3774,0.8113,0.7169,0.6226,0.1302,-0.00432,0.1376,-0.00181,0.137,-0.00067,0.1365,0.00416,0.10563,0.09334,0.08106
2010-2017,5,110,0.4882,0.7559,0.6339,0.5118,0.1378,-7e-05,0.1412,-0.007,0.145,-0.01181,0.15,-0.01264,0.10416,0.08735,0.07053
2010-2017,6,116,0.6201,0.6899,0.5349,0.3799,0.1386,0.00284,0.1473,0.00615,0.146,0.00668,0.1477,0.00586,0.09562,0.07414,0.05265
2010-2017,7,108,0.7365,0.6318,0.4476,0.2635,0.155,0.00043,0.1593,0.00061,0.1657,-0.00101,0.1661,0.0032,0.09793,0.06938,0.04084
2010-2017,8,115,0.8441,0.578,0.3669,0.1559,0.1596,0.00322,0.1565,0.00527,0.1614,0.00514,0.1667,0.0008,0.09225,0.05856,0.02488
2010-2017,9,106,0.9546,0.5227,0.2841,0.0454,0.2052,0.00519,0.2067,0.01285,0.1941,0.02237,0.1874,0.02648,0.10726,0.0583,0.00932
2018-2024,0,116,0.0394,0.9803,0.9704,0.9606,0.1302,-0.00501,0.1402,-0.00776,0.1424,-0.00802,0.1424,-0.00811,0.12764,0.12635,0.12507
2018-2024,1,111,0.1657,0.9172,0.8758,0.8343,0.1525,-0.0025,0.1662,-0.00633,0.1739,-0.00799,0.1841,-0.01716,0.13987,0.13356,0.12723
2018-2024,2,114,0.2777,0.8611,0.7917,0.7223,0.1552,-0.00129,0.1632,-0.00114,0.1715,-0.0036,0.1728,-0.00519,0.13364,0.12287,0.1121
2018-2024,3,116,0.3813,0.8094,0.714,0.6187,0.1857,3e-05,0.1918,0.00327,0.1937,0.00508,0.1912,0.01064,0.15031,0.13259,0.11489
2018-2024,4,116,0.483,0.7585,0.6378,0.517,0.1627,0.00801,0.1659,0.01044,0.1685,0.00514,0.1736,0.00418,0.12341,0.10377,0.08412
2018-2024,5,108,0.596,0.702,0.553,0.404,0.1601,-0.00733,0.1646,-0.00802,0.1675,0.00073,0.1691,0.00197,0.11239,0.08854,0.06468
2018-2024,6,112,0.6886,0.6557,0.4836,0.3114,0.1712,-0.00286,0.1802,-0.00354,0.181,-0.00018,0.1811,0.00139,0.11226,0.08279,0.05331
2018-2024,7,114,0.7946,0.6027,0.404,0.2054,0.1841,0.00515,0.1874,0.00914,0.1851,0.01381,0.1829,0.02003,0.11096,0.07438,0.03781
2018-2024,8,113,0.8683,0.5658,0.3488,0.1317,0.1685,0.00742,0.161,0.01395,0.1645,0.01552,0.1684,0.01855,0.09534,0.05877,0.02219
2018-2024,9,113,0.966,0.517,0.2755,0.034,0.2613,0.01004,0.2493,0.01807,0.237,0.02215,0.2314,0.02029,0.13509,0.07199,0.00888
2025-,0,30,0.205,0.8975,0.8462,0.795,0.2236,0.00561,0.2292,0.03096,0.2265,0.06076,0.2243,0.08823,0.20068,0.18921,0.17776
2025-,1,23,0.4289,0.7855,0.6783,0.5711,0.1251,0.01323,0.1556,0.01021,0.1681,0.01101,0.1717,0.01622,0.09827,0.08486,0.07144
2025-,2,28,0.5965,0.7017,0.5526,0.4035,0.2561,0.01302,0.2875,0.0165,0.2962,0.0414,0.2933,0.05985,0.17971,0.14152,0.10334
2025-,3,25,0.716,0.642,0.463,0.284,0.2934,0.03475,0.317,0.06641,0.3391,0.09274,0.3429,0.14078,0.18836,0.13584,0.08333
2025-,4,27,0.7856,0.6072,0.4108,0.2144,0.3529,0.02914,0.3741,0.05867,0.3825,0.11197,0.4268,0.11696,0.21428,0.14497,0.07566
