period,strategy,years,bars,capital_krw,cagr_net,sharpe_net,sortino_net,calmar_net,mdd_net,vol_ann,avg_exposure,exp_turnover_ann,resize_count,total_cost_krw,total_cost_pct_cap,d_cagr,d_vol_ann,d_mdd,d_sharpe,d_sortino,status
IS_2010-2017,5-3_A,7.9781,1943,84975000.0,0.0284,0.343,0.464,0.168,-0.1694,0.0987,0.9153,4.575,73,494000.0,0.005813,-0.0054,-0.0137,0.0293,-0.019,-0.015,OK
IS_2010-2017,5-3_B,7.9781,1943,84975000.0,0.0228,0.295,0.373,0.128,-0.1786,0.094,0.8307,9.15,73,962000.0,0.011321,-0.011,-0.0184,0.0201,-0.067,-0.106,OK
IS_2010-2017,5-4_A,7.9781,1943,84975000.0,0.027,0.367,0.496,0.18,-0.1496,0.0849,0.7967,4.4484,1466,481722.0,0.005669,-0.0068,-0.0275,0.0491,0.005,0.017,OK
IS_2010-2017,5-4_B,7.9781,1943,84975000.0,0.0235,0.36,0.475,0.167,-0.1402,0.0744,0.695,6.6727,1466,709583.0,0.00835,-0.0103,-0.038,0.0585,-0.002,-0.004,OK
IS_2010-2017,5-4_C,7.9781,1943,84975000.0,0.0199,0.337,0.418,0.134,-0.1485,0.0672,0.5933,8.8969,1466,937444.0,0.011032,-0.0139,-0.0452,0.0502,-0.025,-0.061,OK
IS_2010-2017,B&H,7.9781,1943,84975000.0,0.0338,0.362,0.479,0.17,-0.1987,0.1124,1.0,0.0,0,26000.0,0.000306,0.0,0.0,0.0,0.0,0.0,OK
IS_2010-2024,5-3_A,14.9843,3636,109925000.0,0.0131,0.197,0.269,0.053,-0.2452,0.0888,0.8991,4.8384,145,962000.0,0.008751,-0.0001,-0.0152,0.0107,0.013,0.026,OK
IS_2010-2024,5-3_B,14.9843,3636,109925000.0,0.013,0.202,0.256,0.052,-0.2508,0.0833,0.7981,9.6768,145,1898000.0,0.017266,-0.0002,-0.0207,0.0051,0.018,0.013,OK
IS_2010-2024,5-4_A,14.9843,3636,109925000.0,0.0106,0.182,0.248,0.052,-0.2037,0.0759,0.7663,4.5982,2966,916036.0,0.008333,-0.0026,-0.0281,0.0522,-0.002,0.005,OK
IS_2010-2024,5-4_B,14.9843,3636,109925000.0,0.0092,0.181,0.242,0.05,-0.1865,0.0642,0.6494,6.8973,2966,1361054.0,0.012382,-0.004,-0.0398,0.0694,-0.003,-0.001,OK
IS_2010-2024,5-4_C,14.9843,3636,109925000.0,0.0078,0.174,0.217,0.046,-0.1714,0.0555,0.5326,9.1964,2966,1806071.0,0.01643,-0.0054,-0.0485,0.0845,-0.01,-0.026,OK
IS_2010-2024,B&H,14.9843,3636,109925000.0,0.0132,0.184,0.243,0.052,-0.2559,0.104,1.0,0.0,0,26000.0,0.000237,0.0,0.0,0.0,0.0,0.0,OK
IS_2018-2024,5-3_A,6.9925,1693,109925000.0,0.0032,0.087,0.123,0.011,-0.2812,0.1189,0.8807,5.2199,73,494000.0,0.004494,0.0059,-0.0301,0.0321,0.031,0.047,OK
IS_2018-2024,5-3_B,6.9925,1693,109925000.0,0.0088,0.139,0.18,0.032,-0.2781,0.1059,0.7614,10.4398,73,962000.0,0.008751,0.0115,-0.0431,0.0352,0.083,0.104,OK
IS_2018-2024,5-4_A,6.9925,1693,109925000.0,-0.0017,0.033,0.046,-0.007,-0.2341,0.1007,0.7317,4.8379,1499,460107.0,0.004186,0.001,-0.0483,0.0792,-0.023,-0.03,OK
IS_2018-2024,5-4_B,6.9925,1693,109925000.0,-0.0013,0.024,0.033,-0.006,-0.2106,0.0809,0.5975,7.2569,1499,677161.0,0.00616,0.0014,-0.0681,0.1027,-0.032,-0.043,OK
IS_2018-2024,5-4_C,6.9925,1693,109925000.0,-0.0008,0.02,0.026,-0.004,-0.19,0.0658,0.4634,9.6759,1499,894214.0,0.008135,0.0019,-0.0832,0.1233,-0.036,-0.05,OK
IS_2018-2024,B&H,6.9925,1693,109925000.0,-0.0027,0.056,0.076,-0.009,-0.3133,0.149,1.0,0.0,0,26000.0,0.000237,0.0,0.0,0.0,0.0,0.0,OK
OOS_2025,5-3_A,0.9911,238,152000000.0,0.3785,2.966,3.667,5.183,-0.073,0.1164,0.8361,6.0539,12,104000.0,0.000684,-0.1043,-0.0237,0.0049,-0.07,-0.137,OK
OOS_2025,5-3_B,0.9911,238,152000000.0,0.2744,2.378,2.491,3.701,-0.0741,0.11,0.6723,12.1078,12,182000.0,0.001197,-0.2084,-0.0301,0.0038,-0.658,-1.313,OK
OOS_2025,5-4_A,0.9911,238,152000000.0,0.339,3.137,4.009,6.382,-0.0531,0.0997,0.7132,6.4383,204,104464.0,0.000687,-0.1438,-0.0404,0.0248,0.101,0.205,OK
OOS_2025,5-4_B,0.9911,238,152000000.0,0.2671,3.12,3.957,6.481,-0.0412,0.081,0.5698,9.6574,204,143696.0,0.000945,-0.2157,-0.0591,0.0367,0.084,0.153,OK
OOS_2025,5-4_C,0.9911,238,152000000.0,0.1953,2.843,3.354,6.317,-0.0309,0.0669,0.4263,12.8765,204,182929.0,0.001203,-0.2875,-0.0732,0.047,-0.193,-0.45,OK
OOS_2025,B&H,0.9911,238,152000000.0,0.4828,3.036,3.804,6.194,-0.0779,0.1401,1.0,0.0,0,26000.0,0.000171,0.0,0.0,0.0,0.0,0.0,OK
OOS_2025-latest,5-3_A,1.6838,405,372625000.0,0.2325,1.716,1.991,1.703,-0.1365,0.1332,0.7432,5.3451,18,143000.0,0.000384,-0.058,-0.0784,0.0974,0.344,0.478,OK
OOS_2025-latest,5-3_B,1.6838,405,372625000.0,0.1725,2.044,1.708,2.548,-0.0677,0.0835,0.4864,10.6901,18,260000.0,0.000698,-0.118,-0.1281,0.1662,0.672,0.195,OK
OOS_2025-latest,5-4_A,1.6838,405,372625000.0,0.1924,1.469,1.62,1.25,-0.1539,0.1317,0.6482,4.7135,333,125512.0,0.000337,-0.0981,-0.0799,0.08,0.097,0.107,OK
OOS_2025-latest,5-4_B,1.6838,405,372625000.0,0.1412,1.674,1.877,1.409,-0.1002,0.085,0.4723,7.0702,333,175268.0,0.00047,-0.1493,-0.1266,0.1337,0.302,0.364,OK
OOS_2025-latest,5-4_C,1.6838,405,372625000.0,0.0883,2.248,2.54,2.137,-0.0413,0.0399,0.2964,9.4269,333,225024.0,0.000604,-0.2022,-0.1717,0.1926,0.876,1.027,OK
OOS_2025-latest,B&H,1.6838,405,372625000.0,0.2905,1.372,1.513,1.242,-0.2339,0.2116,1.0,0.0,0,26000.0,7e-05,0.0,0.0,0.0,0.0,0.0,OK
OOS_2026,5-3_A,0.6845,167,372625000.0,0.3971,1.656,2.316,2.596,-0.153,0.2252,0.6108,4.3828,6,65000.0,0.000174,-0.1194,-0.1474,0.1115,0.309,0.474,OK
