strategy,period,years,bars,capital_krw,cagr_net,sharpe_net,sortino_net,calmar_net,mdd_net,win_rate,profit_factor,resize_count,n_segments,trades_per_year,total_cost_krw,total_cost_pct_cap,avg_exposure,time_in_market,final_equity_krw,status
buyhold,2010-2017,7.9781,1943,84975000.0,0.0338,0.362,0.479,0.17,-0.1987,1.0,inf,0,1,0.0,26000.0,0.000306,1.0,1.0,110736500.0,OK
sizing_tv10,2010-2017,7.9781,1943,84975000.0,0.0166,0.251,0.337,0.084,-0.1973,0.0114,1.182,1580,1581,198.04,549445.0,0.006466,0.7493,1.0,96879413.0,OK
sizing_tv15,2010-2017,7.9781,1943,84975000.0,0.0236,0.297,0.405,0.111,-0.2123,0.0202,0.958,692,693,86.74,249538.0,0.002937,0.9167,1.0,102344398.0,OK
buyhold,2018-2024,6.9925,1693,109925000.0,-0.0027,0.056,0.076,-0.009,-0.3133,0.0,0.0,0,1,0.0,26000.0,0.000237,1.0,1.0,107874000.0,OK
sizing_tv10,2018-2024,6.9925,1693,109925000.0,-0.0205,-0.193,-0.262,-0.085,-0.2418,0.0012,0.244,1644,1645,235.11,517180.0,0.004705,0.6255,1.0,95080132.0,OK
sizing_tv15,2018-2024,6.9925,1693,109925000.0,-0.0164,-0.081,-0.111,-0.056,-0.2903,0.0094,0.511,1058,1059,151.31,375243.0,0.003414,0.8508,1.0,97916829.0,OK
buyhold,2025-,1.6838,405,372625000.0,0.2905,1.372,1.513,1.242,-0.2339,1.0,inf,0,1,0.0,26000.0,7e-05,1.0,1.0,572499000.0,OK
sizing_tv10,2025-,1.6838,405,372625000.0,0.112,2.296,2.806,2.429,-0.0461,0.0,,404,405,239.94,100505.0,0.00027,0.3705,1.0,445544513.0,OK
sizing_tv15,2025-,1.6838,405,372625000.0,0.1636,2.334,2.876,2.582,-0.0634,0.0105,inf,379,380,225.09,121155.0,0.000325,0.547,1.0,480884825.0,OK
buyhold,ALL,16.6762,4041,372625000.0,0.0286,0.444,0.485,0.127,-0.2259,1.0,inf,0,1,0.0,26000.0,7e-05,1.0,1.0,596149000.0,OK
sizing_tv10,ALL,16.6762,4041,372625000.0,0.0104,0.43,0.552,0.142,-0.0734,0.0055,0.978,3630,3631,217.67,1117491.0,0.002999,0.6593,1.0,442743721.0,OK
sizing_tv15,ALL,16.6762,4041,372625000.0,0.0161,0.499,0.641,0.176,-0.0917,0.0131,0.814,2130,2131,127.73,694662.0,0.001864,0.852,1.0,486363813.0,OK
